id,time,y,ytype,initT,aS,dS,tau,lBt0,lp,dI,lk,f,dp,lw,dE,lI50,lod
1,0,3.1751,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,2.2949,3.795,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,6.8355,5.4818,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,7,5.6085,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,10.041,5.8973,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,10.308,5.4376,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,12.979,6.3744,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,14,5.5199,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,16.451,4.7398,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,20.724,5.9353,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,21,4.8773,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,24.197,4.7241,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,28,4.7208,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,28.737,5.3378,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,30.607,5.2048,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,35,4.6071,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,42,4.5177,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,46.098,4.3357,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,49,4.4437,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,52.509,4.6395,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,56,4.3804,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,63,4.3251,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,65.596,4.9371,1,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
1,70,4.276,2,-5.5177,70,0.05451,0.05,-4.7869,4.6,0.9,-1.8857,0.9,0.001,-0.11574,1,0.59281,15
2,0,3.297,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,1.2265,3.4613,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,3.8974,5.0097,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,6.1232,5.542,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,7,6.1484,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,11.243,7.2183,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,14,7.1844,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,17.92,6.0368,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,20.813,6.4272,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,21,6.1757,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,25.042,6.165,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,27.936,6.0671,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,28,5.8999,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,35,6.2713,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,42,6.7323,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,42.181,6.2544,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,49,6.6464,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,53.31,6.247,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,56,6.4239,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,63,6.4254,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,64.216,5.7426,1,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
2,70,6.5458,2,-5.2092,70,0.04518,0.05,-4.841,4.6,0.9,-1.8857,0.9,0.001,0.39263,1,-1.3589,15
3,0,3.599,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,3.6303,5.3772,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,6.5684,7.3024,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,7,6.932,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,10.041,6.6586,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,13.513,6.9153,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,14,6.7524,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,20.19,5.4014,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,21,5.4715,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,26.066,5.5894,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,27.402,4.8969,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,28,5.1276,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,35,5.3859,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,42,5.6591,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,49,5.6162,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,53.844,5.9013,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,56,5.3595,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,59.453,5.0772,1,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,63,5.1796,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
3,70,5.0661,2,-4.866,70,0.03415,0.05,-4.912,4.6,0.9,-1.8857,0.9,0.001,-0.42934,1,0.26796,15
4,0,4.0416,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,0.42521,4.5664,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,6.3013,5.0496,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,7,4.7697,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,7.6368,4.2931,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,12.979,3.9558,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,14,4.265,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,18.855,3.852,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,20.724,3.7851,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,21,4.0706,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,25.799,3.4304,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,28,3.9438,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,28.47,3.8108,1,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,35,3.8475,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,42,3.7697,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,49,3.7044,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,56,3.6483,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,63,3.5989,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
4,70,3.555,2,-7.6122,70,0.05084,0.05,-4.8083,4.6,0.9,-1.8857,0.9,0.001,0.54468,1,0.34593,15
5,0,3.5247,2,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,0.9594,3.6586,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,4.1645,4.9061,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,6.8355,5.8349,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,7,5.1593,2,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,10.575,5.0759,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,14,4.7243,2,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,14.314,4.5431,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,18.053,4.4572,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,21,4.2932,2,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,21.259,4.5062,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
5,24.731,3.7999,1,-8.4945,70,0.07679,0.05,-4.6951,4.6,0.9,-1.8857,0.9,0.001,0.42958,1,0.04212,15
