id_var,eta_initT_mean,eta_initT_mode,eta_aS_mean,eta_aS_mode,eta_dS_mean,eta_dS_mode,eta_lBt0_mean,eta_lBt0_mode,eta_dI_mean,eta_dI_mode,eta_w_mean,eta_w_mode,split,color,filter
35,-1.72625,-1.14009,-0.0100026,-0.00041441,-0.0184283,-0.0197817,0,0,-0.00288096,0.00264217,0,0,All,#4682B4,0
36,4.37774,4.45017,0.0151835,0.00478014,-0.0251337,-0.0252847,0,0,0.048941,0.0606947,0,0,All,#4682B4,0
37,0.979458,1.32969,0.0156741,0.00178377,0.0250957,0.0152256,0,0,-0.00633366,-0.00650834,0,0,All,#4682B4,0
38,-1.40674,-1.43424,0.00330397,-0.0050172,0.00898215,0.0140411,0,0,-0.00490441,-0.0207166,0,0,All,#4682B4,0
39,-2.00341,-1.48449,-0.0263384,-0.0276997,0.0862179,0.0840505,0,0,-0.107206,-0.0929811,0,0,All,#4682B4,0
40,-1.16257,-0.833648,-0.00547493,1.37578e-05,-0.010944,-0.00231739,0,0,-0.0289069,-0.0174639,0,0,All,#4682B4,0
41,1.48005,1.8654,-0.000111051,-0.00460964,0.0314688,0.0113757,0,0,-0.0121293,-0.0177173,0,0,All,#4682B4,0
42,0.490801,1.26274,0.000721395,-0.00532939,0.0242532,0.0263636,0,0,-0.050068,-0.0208857,0,0,All,#4682B4,0
43,1.79529,2.2192,-0.0211526,-0.00693263,-0.000219834,0.0251915,0,0,-0.0566933,-0.0351336,0,0,All,#4682B4,0
44,-1.49439,-1.00103,0.00992413,0.00788913,-0.0316305,-0.0132922,0,0,0.0276793,0.0287908,0,0,All,#4682B4,0
45,2.10853,2.26319,-0.00624499,-0.00621359,0.0464231,0.0195965,0,0,0.00249756,-0.00727515,0,0,All,#4682B4,0
46,-0.552859,-0.769619,0.0021647,0.00262277,-0.0210666,0.00266602,0,0,0.0121766,-0.0019884,0,0,All,#4682B4,0
47,2.0953,2.17026,-0.0228093,-0.00254752,0.0487673,0.026583,0,0,0.00375893,-0.0180868,0,0,All,#4682B4,0
48,0.413652,0.421477,-0.0341789,-0.0150452,0.0644215,0.0600994,0,0,-0.0575835,-0.0815924,0,0,All,#4682B4,0
49,3.99292,4.03608,0.00888587,-0.0132102,0.0605798,0.0440667,0,0,0.033326,0.0368746,0,0,All,#4682B4,0
50,3.861,4.08691,0.0155988,0.00680908,0.00430975,-0.0202638,0,0,0.0102449,0.0254675,0,0,All,#4682B4,0
51,-1.38781,-1.46057,0.00271423,-0.0106135,0.0369279,0.0384438,0,0,-0.0491976,-0.0463286,0,0,All,#4682B4,0
1,-1.16676,-1.02223,-0.0320937,-0.0122124,0.0407957,0.0342852,0,0,-0.0363249,-0.063462,0,0,All,#4682B4,0
2,1.1387,1.26825,-0.0152225,-0.0100748,0.0143483,0.019715,0,0,-0.0406861,-0.047504,0,0,All,#4682B4,0
3,0.177854,0.918713,-0.0205321,-0.0105754,0.0344901,0.0217555,0,0,-0.0570628,-0.0477458,0,0,All,#4682B4,0
4,0.670141,1.14252,0.0122206,0.0145475,-0.0416185,-0.0162871,0,0,0.0657149,0.0712417,0,0,All,#4682B4,0
5,-0.628641,-0.890077,0.00466069,-0.00173689,0.014616,0.0196101,0,0,-0.00282992,-0.0249936,0,0,All,#4682B4,0
6,-2.52164,-2.18616,0.00109062,0.0083278,-0.009205,-0.0207881,0,0,0.049872,0.0415931,0,0,All,#4682B4,0
7,1.91598,2.24498,-0.00597668,-0.00440865,0.0117714,-0.030589,0,0,0.111496,0.102653,0,0,All,#4682B4,0
8,-1.024,-0.704001,-0.0214012,-0.0119204,-0.0711397,-0.0369972,0,0,-0.0834689,-0.0699459,0,0,All,#4682B4,0
9,-0.315597,-0.163854,0.0181365,0.00271789,-0.0515513,-0.0712305,0,0,0.0464379,0.0464643,0,0,All,#4682B4,0
10,-1.68733,-1.35943,-0.00133351,0.000730164,-0.00541078,-0.0125658,0,0,0.00437681,-0.00796135,0,0,All,#4682B4,0
11,1.65419,1.87019,0.00403203,-0.00455685,0.0176774,0.0376532,0,0,-0.035594,-0.0326216,0,0,All,#4682B4,0
12,0.355599,1.05954,-0.00123281,0.013938,-0.0373906,-0.0157499,0,0,0.069236,0.0694336,0,0,All,#4682B4,0
13,0.179956,-0.00377862,-0.0169463,-0.0143933,0.0174309,0.0384021,0,0,0.00412624,0.00315166,0,0,All,#4682B4,0
14,3.25282,3.25862,0.0127544,0.00848037,-0.00769867,-0.0193807,0,0,0.0896471,0.0789522,0,0,All,#4682B4,0
15,0.390732,0.646972,-0.020217,-0.0060962,0.0232035,0.023299,0,0,-0.0304237,-0.0338248,0,0,All,#4682B4,0
16,1.21114,1.90611,-0.023295,-0.00949877,0.0166502,0.0346014,0,0,-0.0743396,-0.0496639,0,0,All,#4682B4,0
17,-0.0640002,0.150058,0.00831812,-0.0036569,0.0178008,0.010784,0,0,-0.0251058,-0.019811,0,0,All,#4682B4,0
18,4.44317,4.54403,-0.0233655,-0.0216724,0.0842229,0.0612805,0,0,0.031632,0.0225833,0,0,All,#4682B4,0
19,-1.08207,-0.821159,0.0109256,-0.000485109,0.00181408,-0.0205945,0,0,0.0082502,0.000373129,0,0,All,#4682B4,0
20,0.673592,0.608147,-0.014754,-0.00400835,-0.0040982,0.0117671,0,0,-0.0253844,-0.0243441,0,0,All,#4682B4,0
21,-0.0140122,0.217136,0.0042691,0.00169027,0.0332735,0.00273247,0,0,-0.000197718,-0.00198496,0,0,All,#4682B4,0
22,-2.33127,-2.03559,0.0289785,0.0185097,-0.053364,-0.0452401,0,0,0.0759173,0.0726366,0,0,All,#4682B4,0
23,-2.1689,-1.07444,0.00165422,-0.0115742,-0.0297421,-0.0187542,0,0,-0.0569971,-0.0488812,0,0,All,#4682B4,0
24,0.126542,1.04699,-0.0013332,-0.00221139,0.0335509,0.0187099,0,0,-0.0409593,-0.0279581,0,0,All,#4682B4,0
25,0.646328,0.991553,0.00457259,0.0108288,-0.0226371,-0.0283941,0,0,0.0892,0.0861874,0,0,All,#4682B4,0
26,-2.82307,-4.41525,0.00878047,0.0318278,-0.0902322,-0.121337,0,0,0.178831,0.134386,0,0,All,#4682B4,0
27,-2.13966,-1.66183,-0.0166144,-0.0113434,-0.0143371,0.00172073,0,0,-0.0622479,-0.0604002,0,0,All,#4682B4,0
28,-0.525311,-0.232006,-0.0127337,-0.0159884,-0.0195345,0.00443153,0,0,-0.0875524,-0.0796155,0,0,All,#4682B4,0
29,-1.0948,-1.11773,-0.00310745,0.00367938,-0.014853,-0.0274112,0,0,0.0451804,0.00680089,0,0,All,#4682B4,0
30,-0.0863083,-0.526252,-0.0176315,-0.0168466,0.0472068,0.0568076,0,0,-0.0842696,-0.0927745,0,0,All,#4682B4,0
31,-0.761689,-0.368556,-0.0121915,0.0023188,-0.0439876,-0.0181775,0,0,0.00403992,0.0145976,0,0,All,#4682B4,0
32,-3.68761,-3.59987,-0.0182878,-0.00074761,-0.0640947,-0.0882907,0,0,0.0358213,0.0144888,0,0,All,#4682B4,0
33,0.597077,1.03027,-0.0241206,0.00270687,-0.0452491,-0.0154483,0,0,0.0146285,0.0191178,0,0,All,#4682B4,0
34,-6.4598,-5.86087,0.0273237,0.0333691,-0.228427,-0.145437,0,0,0.111346,0.142284,0,0,All,#4682B4,0
