rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,split,color,filter
1,35,-1.86696,0.0184055,0.0464013,0,-0.0547552,0,All,#4682B4,0
2,35,-1.37763,0.0315383,0.0378857,0,0.00635735,0,All,#4682B4,0
3,35,-1.03395,-0.0320042,0.161605,0,0.0796817,0,All,#4682B4,0
4,35,-5.40089,-0.0570454,0.143172,0,0.0977897,0,All,#4682B4,0
5,35,-0.0429482,-0.029449,-0.24991,0,0.0205831,0,All,#4682B4,0
6,35,-0.577043,-0.0531628,-0.223425,0,-0.091367,0,All,#4682B4,0
7,35,-0.0290644,0.000449509,0.0588774,0,0.0435762,0,All,#4682B4,0
8,35,-4.47598,-0.00290285,-0.0592507,0,-0.131227,0,All,#4682B4,0
9,35,0.290314,-0.0165872,-0.0911373,0,0.0210758,0,All,#4682B4,0
10,35,-2.43278,0.0219677,0.0174971,0,-0.0780204,0,All,#4682B4,0
1,36,4.36581,-0.000179768,0.0519963,0,0.0738887,0,All,#4682B4,0
2,36,4.35212,0.0374697,-0.144971,0,-0.0357489,0,All,#4682B4,0
3,36,4.35212,0.0836795,-0.0444513,0,-0.0151213,0,All,#4682B4,0
4,36,3.98396,0.000983574,0.0902385,0,0.0951849,0,All,#4682B4,0
5,36,4.15023,0.031919,-0.169052,0,-0.06209,0,All,#4682B4,0
6,36,4.65379,0.0197206,-0.152099,0,0.0472193,0,All,#4682B4,0
7,36,4.28567,0.0444928,0.0705268,0,0.0591294,0,All,#4682B4,0
8,36,4.41196,0.0792246,-0.0730521,0,0.0427891,0,All,#4682B4,0
9,36,4.3147,-0.0268102,0.0173495,0,0.0543792,0,All,#4682B4,0
10,36,4.56769,0.0749783,-0.00749556,0,0.0907015,0,All,#4682B4,0
1,37,0.216903,0.00823059,-0.00383284,0,-0.079644,0,All,#4682B4,0
2,37,2.6355,0.0823414,0.0824426,0,-0.00497195,0,All,#4682B4,0
3,37,-0.390691,0.0962782,0.0475563,0,-0.0812578,0,All,#4682B4,0
4,37,-1.18492,0.0233503,0.239902,0,-0.0942539,0,All,#4682B4,0
5,37,2.14168,-0.0651941,0.00219326,0,0.0168833,0,All,#4682B4,0
6,37,0.417083,0.152174,-0.00269692,0,-0.113057,0,All,#4682B4,0
7,37,1.25847,-0.0787028,0.120702,0,0.0761703,0,All,#4682B4,0
8,37,-0.00108617,-0.0122783,0.21872,0,0.0454518,0,All,#4682B4,0
9,37,0.319996,-0.00361354,-0.0175179,0,-0.119707,0,All,#4682B4,0
10,37,2.73724,0.0212471,-0.0888245,0,0.0589941,0,All,#4682B4,0
1,38,-3.14926,0.0577566,-0.00733775,0,-0.0319127,0,All,#4682B4,0
2,38,-6.5804,-0.00521485,0.0133792,0,-0.115052,0,All,#4682B4,0
3,38,-2.84251,-0.0182085,0.0746171,0,-0.0303992,0,All,#4682B4,0
4,38,-1.99755,0.000509955,0.101733,0,-0.0415559,0,All,#4682B4,0
5,38,0.689665,0.00448714,-0.0277091,0,0.00317332,0,All,#4682B4,0
6,38,-1.0134,0.0208208,0.0262712,0,-0.0329313,0,All,#4682B4,0
7,38,-3.63786,0.15837,0.0294508,0,-0.104509,0,All,#4682B4,0
8,38,-1.78761,-0.0833936,-0.207863,0,-0.0768052,0,All,#4682B4,0
9,38,-1.64155,-0.00876104,-0.0842008,0,-0.0299553,0,All,#4682B4,0
10,38,-0.907197,0.0230195,0.0741537,0,0.0250912,0,All,#4682B4,0
1,39,-2.27548,0.0416398,-0.0080649,0,-0.142864,0,All,#4682B4,0
