initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,dI_abscissa,dI_cdf,w_abscissa,w_cdf,split
-4.37791,0.00196078,-4,0,-4,0,-4,0,-4,0,-4,0,All
-3.95526,0.00392157,-2.354,0.00196078,-3.52815,0.00196078,-3.14637,0.00196078,-2.30232,0.00196078,-3.10678,0.00196078,All
-3.10785,0.00588235,-2.26515,0.00392157,-3.14398,0.00392157,-2.70667,0.00392157,-2.10613,0.00392157,-2.6304,0.00392157,All
-2.91176,0.00784314,-2.06688,0.00588235,-2.88284,0.00588235,-2.47555,0.00588235,-2.04067,0.00588235,-2.36082,0.00588235,All
-2.85296,0.00980392,-2.0395,0.00784314,-2.66986,0.00784314,-2.29194,0.00784314,-1.99412,0.00784314,-2.35856,0.00784314,All
-2.73495,0.0117647,-2.03562,0.00980392,-2.62507,0.00980392,-2.11404,0.00980392,-1.88699,0.00980392,-2.08897,0.00980392,All
-2.66748,0.0137255,-2.02772,0.0117647,-2.60055,0.0117647,-2.08419,0.0117647,-1.8302,0.0117647,-2.06827,0.0117647,All
-2.59986,0.0156863,-1.98383,0.0137255,-2.44017,0.0137255,-2.08264,0.0137255,-1.83008,0.0137255,-1.9316,0.0137255,All
-2.50647,0.0176471,-1.94293,0.0156863,-2.41183,0.0156863,-2.06439,0.0156863,-1.82097,0.0156863,-1.79801,0.0156863,All
-2.43758,0.0196078,-1.89848,0.0176471,-2.25814,0.0176471,-2.0554,0.0176471,-1.80591,0.0176471,-1.76739,0.0176471,All
-2.37074,0.0215686,-1.85246,0.0196078,-2.24005,0.0196078,-2.03803,0.0196078,-1.78817,0.0196078,-1.7234,0.0196078,All
-2.25069,0.0235294,-1.79004,0.0215686,-2.21855,0.0215686,-2.03702,0.0215686,-1.78614,0.0215686,-1.68022,0.0215686,All
-2.18935,0.0254902,-1.77907,0.0235294,-2.19485,0.0235294,-2.01638,0.0235294,-1.77457,0.0235294,-1.67732,0.0235294,All
-2.1626,0.027451,-1.7628,0.0254902,-2.14228,0.0254902,-1.99998,0.0254902,-1.74527,0.0254902,-1.66948,0.0254902,All
-2.14376,0.0294118,-1.75889,0.027451,-2.08546,0.027451,-1.92588,0.027451,-1.68584,0.027451,-1.667,0.027451,All
-2.14033,0.0313725,-1.75806,0.0294118,-2.01883,0.0294118,-1.88778,0.0294118,-1.66681,0.0294118,-1.65566,0.0294118,All
-2.02632,0.0333333,-1.75307,0.0313725,-2.01771,0.0313725,-1.86793,0.0313725,-1.65255,0.0313725,-1.63789,0.0313725,All
-1.98987,0.0352941,-1.75187,0.0333333,-2.00508,0.0333333,-1.82757,0.0333333,-1.64601,0.0333333,-1.62887,0.0333333,All
-1.93267,0.0372549,-1.74843,0.0352941,-1.97811,0.0352941,-1.81038,0.0352941,-1.63784,0.0352941,-1.60185,0.0352941,All
-1.89609,0.0392157,-1.72228,0.0372549,-1.95654,0.0372549,-1.79664,0.0372549,-1.63176,0.0372549,-1.59297,0.0372549,All
-1.82505,0.0411765,-1.7089,0.0392157,-1.87822,0.0392157,-1.75554,0.0392157,-1.62634,0.0392157,-1.58499,0.0392157,All
-1.81442,0.0431373,-1.65625,0.0411765,-1.767,0.0411765,-1.74624,0.0411765,-1.61725,0.0411765,-1.58362,0.0411765,All
-1.79072,0.045098,-1.65269,0.0431373,-1.70549,0.0431373,-1.69384,0.0431373,-1.61609,0.0431373,-1.5821,0.0431373,All
-1.75203,0.0470588,-1.59962,0.045098,-1.69858,0.045098,-1.67871,0.045098,-1.56478,0.045098,-1.57386,0.045098,All
-1.75118,0.0490196,-1.59362,0.0470588,-1.69016,0.0470588,-1.66024,0.0470588,-1.55631,0.0470588,-1.54114,0.0470588,All
-1.71459,0.0509804,-1.58185,0.0490196,-1.67469,0.0490196,-1.57383,0.0490196,-1.54085,0.0490196,-1.52292,0.0490196,All
-1.70909,0.0529412,-1.56977,0.0509804,-1.61715,0.0509804,-1.54228,0.0509804,-1.52558,0.0509804,-1.50349,0.0509804,All
-1.7077,0.054902,-1.55807,0.0529412,-1.55228,0.0529412,-1.53134,0.0529412,-1.52416,0.0529412,-1.48796,0.0529412,All
-1.63438,0.0568627,-1.55185,0.054902,-1.5488,0.054902,-1.50939,0.054902,-1.515,0.054902,-1.44602,0.054902,All
-1.63356,0.0588235,-1.55071,0.0568627,-1.54673,0.0568627,-1.47179,0.0568627,-1.50873,0.0568627,-1.42316,0.0568627,All
-1.60594,0.0607843,-1.54387,0.0588235,-1.53311,0.0588235,-1.4591,0.0588235,-1.50021,0.0588235,-1.40901,0.0588235,All
-1.5588,0.0627451,-1.50972,0.0607843,-1.53305,0.0607843,-1.45612,0.0607843,-1.49981,0.0607843,-1.39359,0.0607843,All
-1.55208,0.0647059,-1.49922,0.0627451,-1.52752,0.0627451,-1.44884,0.0627451,-1.48106,0.0627451,-1.3885,0.0627451,All
-1.54561,0.0666667,-1.48996,0.0647059,-1.52656,0.0647059,-1.44626,0.0647059,-1.4576,0.0647059,-1.3812,0.0647059,All
-1.47467,0.0686275,-1.45432,0.0666667,-1.52378,0.0666667,-1.43598,0.0666667,-1.45665,0.0666667,-1.36191,0.0666667,All
-1.46892,0.0705882,-1.41598,0.0686275,-1.5157,0.0686275,-1.42871,0.0686275,-1.45199,0.0686275,-1.35314,0.0686275,All
-1.45286,0.072549,-1.4126,0.0705882,-1.51236,0.0705882,-1.40748,0.0705882,-1.44171,0.0705882,-1.32992,0.0705882,All
-1.44385,0.0745098,-1.39073,0.072549,-1.49984,0.072549,-1.39682,0.072549,-1.42451,0.072549,-1.32698,0.072549,All
-1.42942,0.0764706,-1.37095,0.0745098,-1.46694,0.0745098,-1.39277,0.0745098,-1.41327,0.0745098,-1.32516,0.0745098,All
-1.41895,0.0784314,-1.3583,0.0764706,-1.45189,0.0764706,-1.38622,0.0764706,-1.40849,0.0764706,-1.3172,0.0764706,All
-1.3913,0.0803922,-1.35815,0.0784314,-1.45166,0.0784314,-1.38222,0.0784314,-1.40234,0.0784314,-1.31315,0.0784314,All
-1.39078,0.0823529,-1.32874,0.0803922,-1.44184,0.0803922,-1.34615,0.0803922,-1.38651,0.0803922,-1.30378,0.0803922,All
-1.3856,0.0843137,-1.29952,0.0823529,-1.41084,0.0823529,-1.33691,0.0823529,-1.37327,0.0823529,-1.29421,0.0823529,All
-1.33904,0.0862745,-1.29359,0.0843137,-1.40634,0.0843137,-1.3199,0.0843137,-1.37137,0.0843137,-1.28881,0.0843137,All
-1.33311,0.0882353,-1.27836,0.0862745,-1.37434,0.0862745,-1.31008,0.0862745,-1.36286,0.0862745,-1.2866,0.0862745,All
-1.2938,0.0901961,-1.2781,0.0882353,-1.36337,0.0882353,-1.30673,0.0882353,-1.33589,0.0882353,-1.267,0.0882353,All
-1.2886,0.0921569,-1.26363,0.0901961,-1.36307,0.0901961,-1.30597,0.0901961,-1.32864,0.0901961,-1.25896,0.0901961,All
-1.27661,0.0941176,-1.25301,0.0921569,-1.3518,0.0921569,-1.29872,0.0921569,-1.32787,0.0921569,-1.25871,0.0921569,All
-1.27282,0.0960784,-1.24734,0.0941176,-1.34073,0.0941176,-1.27899,0.0941176,-1.32246,0.0941176,-1.24612,0.0941176,All
-1.25765,0.0980392,-1.23436,0.0960784,-1.33283,0.0960784,-1.27879,0.0960784,-1.32117,0.0960784,-1.24019,0.0960784,All
-1.24202,0.1,-1.20645,0.0980392,-1.33188,0.0980392,-1.26647,0.0980392,-1.32025,0.0980392,-1.23503,0.0980392,All
-1.23819,0.101961,-1.20585,0.1,-1.32735,0.1,-1.26521,0.1,-1.31657,0.1,-1.20747,0.1,All
-1.21163,0.103922,-1.2042,0.101961,-1.32714,0.101961,-1.25369,0.101961,-1.31163,0.101961,-1.18926,0.101961,All
-1.19559,0.105882,-1.19928,0.103922,-1.30994,0.103922,-1.23027,0.103922,-1.30816,0.103922,-1.18525,0.103922,All
-1.1768,0.107843,-1.19037,0.105882,-1.27729,0.105882,-1.22638,0.105882,-1.30366,0.105882,-1.18019,0.105882,All
-1.17487,0.109804,-1.18812,0.107843,-1.26919,0.107843,-1.22428,0.107843,-1.29961,0.107843,-1.17584,0.107843,All
-1.17085,0.111765,-1.18364,0.109804,-1.26424,0.109804,-1.21943,0.109804,-1.24778,0.109804,-1.16747,0.109804,All
-1.16786,0.113725,-1.17918,0.111765,-1.2569,0.111765,-1.21731,0.111765,-1.23592,0.111765,-1.16226,0.111765,All
