initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,dI_abscissa,dI_pdf,w_abscissa,w_pdf,split
-4.23785,0.00730373,-2.2386,0.0177294,-3.37783,0.00680583,-3.01055,0.00753228,-2.18437,0.0173466,-2.98228,0.00821663,All
-3.95771,0.00730373,-2.00779,0.062053,-3.0772,0.00680583,-2.73891,0.00753228,-1.94847,0.02602,-2.73326,0.00821663,All
-3.67757,0,-1.77698,0.0975118,-2.77657,0.0136117,-2.46728,0.00753228,-1.71257,0.147447,-2.48425,0.00821663,All
-3.39744,0,-1.54617,0.124106,-2.47594,0.0272233,-2.19564,0.0376614,-1.47667,0.190813,-2.23524,0.00821663,All
-3.1173,0.00730373,-1.31537,0.159565,-2.17531,0.040835,-1.92401,0.0828551,-1.24077,0.294893,-1.98623,0.0246499,All
-2.83717,0.0219112,-1.08456,0.230483,-1.87468,0.0476408,-1.65237,0.0602583,-1.00487,0.31224,-1.73722,0.0821663,All
-2.55703,0.0292149,-0.853754,0.248212,-1.57405,0.136117,-1.38074,0.188307,-0.768974,0.320913,-1.48821,0.131466,All
-2.2769,0.0438224,-0.622948,0.372318,-1.27342,0.183757,-1.1091,0.26363,-0.533075,0.36428,-1.23919,0.279366,All
-1.99676,0.0292149,-0.392141,0.487559,-0.972794,0.258621,-0.837466,0.301291,-0.297175,0.242853,-0.990183,0.262932,All
-1.71663,0.0803411,-0.161334,0.407777,-0.672164,0.313068,-0.56583,0.369082,-0.0612749,0.33826,-0.741172,0.304015,All
-1.43649,0.102252,0.0694727,0.496424,-0.371534,0.374321,-0.294195,0.42934,0.174625,0.372953,-0.49216,0.353315,All
-1.15635,0.167986,0.300279,0.434371,-0.0709041,0.462796,-0.0225594,0.36155,0.410525,0.329586,-0.243149,0.443698,All
-0.876218,0.262934,0.531086,0.425506,0.229726,0.40835,0.249076,0.369082,0.646425,0.381626,0.00586254,0.402615,All
-0.596083,0.401705,0.761893,0.310265,0.530356,0.340291,0.520712,0.331421,0.882324,0.31224,0.254874,0.361532,All
-0.315947,0.482046,0.9927,0.195024,0.830986,0.224592,0.792347,0.323888,1.11822,0.225506,0.503885,0.328665,All
-0.0358113,0.379794,1.22351,0.159565,1.13162,0.224592,1.06398,0.248565,1.35412,0.199486,0.752897,0.304015,All
0.244324,0.37249,1.45431,0.106377,1.43225,0.136117,1.33562,0.195839,1.59002,0.121427,1.00191,0.328665,All
0.52446,0.401705,1.68512,0.0797824,1.73288,0.122505,1.60725,0.0979197,1.82592,0.0780599,1.25092,0.254716,All
0.804596,0.31406,1.91593,0.0443236,2.03351,0.0612525,1.87889,0.0753228,2.06182,0.0433666,1.49993,0.115033,All
1.08473,0.182593,2.14673,0.0177294,2.33414,0.0476408,2.15052,0.0150646,2.29772,0.0346933,1.74894,0.0575164,All
1.36487,0.109556,2.37754,0.0354588,2.63477,0.00680583,2.42216,0.0301291,2.53362,0.0433666,1.99795,0.0657331,All
1.645,0.255631,2.60835,0,2.9354,0.0204175,2.6938,0.00753228,2.76952,0.00867332,2.24697,0.0328665,All
1.92514,0.0657336,2.83915,0.00886471,3.23603,0.00680583,2.96543,0.0301291,3.00542,0.0173466,2.49598,0.0246499,All
