id_var,standEta_initT_mean,standEta_initT_mode,standEta_aS_mean,standEta_aS_mode,standEta_dS_mean,standEta_dS_mode,standEta_lBt0_mean,standEta_lBt0_mode,standEta_dI_mean,standEta_dI_mode,standEta_w_mean,standEta_w_mode,filter
35,-0.699768,-0.462157,-0.153331,-0.00635257,-0.166515,-0.178744,0,0,-0.00164492,0.00150858,0,0,0
36,1.77459,1.80396,0.232751,0.0732757,-0.227104,-0.228468,0,0,0.0279435,0.0346544,0,0,0
37,0.397041,0.539014,0.240272,0.0273438,0.226761,0.137576,0,0,-0.00361628,-0.00371601,0,0,0
38,-0.570245,-0.581394,0.0506472,-0.0769095,0.0811611,0.126873,0,0,-0.00280023,-0.0118284,0,0,0
39,-0.81212,-0.601766,-0.403746,-0.424614,0.77905,0.759466,0,0,-0.0612108,-0.0530887,0,0,0
40,-0.471268,-0.337934,-0.0839262,0.000210896,-0.0988882,-0.0209395,0,0,-0.0165047,-0.00997121,0,0,0
41,0.599965,0.756172,-0.00170232,-0.070662,0.284346,0.102789,0,0,-0.00692538,-0.0101159,0,0,0
42,0.198955,0.511874,0.0110584,-0.0816952,0.219148,0.238217,0,0,-0.0285869,-0.0119249,0,0,0
43,0.727751,0.899592,-0.324252,-0.106272,-0.00198638,0.227626,0,0,-0.0323697,-0.0200599,0,0,0
44,-0.605778,-0.405785,0.152129,0.120934,-0.285808,-0.120106,0,0,0.0158039,0.0164385,0,0,0
45,0.854732,0.917424,-0.0957306,-0.0952493,0.419471,0.177071,0,0,0.00142601,-0.00415383,0,0,0
46,-0.224111,-0.311979,0.0331831,0.0402049,-0.190354,0.0240897,0,0,0.0069524,-0.0011353,0,0,0
47,0.849368,0.879755,-0.349649,-0.0390515,0.440653,0.2402,0,0,0.00214621,-0.0103269,0,0,0
48,0.167681,0.170853,-0.523935,-0.230631,0.582101,0.543048,0,0,-0.032878,-0.0465861,0,0,0
49,1.6186,1.6361,0.136213,-0.202502,0.547389,0.398179,0,0,0.0190279,0.021054,0,0,0
50,1.56513,1.6567,0.239117,0.104378,0.0389421,-0.1831,0,0,0.00584945,0.014541,0,0,0
51,-0.562573,-0.592066,0.0416069,-0.162696,0.333674,0.347372,0,0,-0.02809,-0.0264518,0,0,0
1,-0.472965,-0.414378,-0.49197,-0.187206,0.368623,0.309795,0,0,-0.0207401,-0.0362344,0,0,0
2,0.461594,0.514108,-0.233349,-0.154439,0.129649,0.178141,0,0,-0.0232302,-0.027123,0,0,0
3,0.0720961,0.372417,-0.31474,-0.162113,0.311647,0.196579,0,0,-0.0325807,-0.027261,0,0,0
4,0.271653,0.46314,0.187332,0.223001,-0.376057,-0.147167,0,0,0.0375207,0.0406763,0,0,0
5,-0.254831,-0.360808,0.0714446,-0.0266251,0.132068,0.177193,0,0,-0.00161578,-0.0142704,0,0,0
6,-1.02219,-0.8862,0.0167183,0.127658,-0.0831748,-0.187837,0,0,0.028475,0.0237481,0,0,0
7,0.776676,0.910043,-0.0916177,-0.067581,0.106364,-0.276397,0,0,0.06366,0.058611,0,0,0
8,-0.415098,-0.285379,-0.328064,-0.18273,-0.642806,-0.334301,0,0,-0.0476576,-0.0399364,0,0,0
9,-0.127933,-0.0664212,0.278018,0.0416631,-0.465809,-0.643627,0,0,0.0265143,0.0265293,0,0,0
10,-0.683988,-0.551069,-0.0204415,0.0111928,-0.0488909,-0.113542,0,0,0.00249899,-0.00454563,0,0,0
11,0.670554,0.758116,0.0618078,-0.0698527,0.15973,0.340228,0,0,-0.0203228,-0.0186257,0,0,0
12,0.144148,0.429502,-0.018898,0.213658,-0.337855,-0.142313,0,0,0.0395311,0.039644,0,0,0
13,0.0729485,-0.00153173,-0.259773,-0.220638,0.157503,0.346995,0,0,0.00235593,0.00179948,0,0,0
14,1.31859,1.32094,0.195515,0.129997,-0.0695639,-0.175121,0,0,0.0511851,0.0450787,0,0,0
15,0.15839,0.262262,-0.309911,-0.0934497,0.209662,0.210526,0,0,-0.0173708,-0.0193127,0,0,0
16,0.490955,0.772676,-0.357093,-0.145608,0.150448,0.312652,0,0,-0.0424451,-0.0283562,0,0,0
17,-0.0259436,0.0608288,0.12751,-0.0560574,0.160845,0.0974426,0,0,-0.0143344,-0.0113113,0,0,0
18,1.80112,1.842,-0.358174,-0.33222,0.761023,0.55372,0,0,0.0180607,0.0128942,0,0,0
19,-0.438637,-0.332871,0.16748,-0.00743632,0.0163917,-0.186088,0,0,0.00471055,0.000213042,0,0,0
20,0.273052,0.246523,-0.226167,-0.0614447,-0.0370306,0.106326,0,0,-0.0144935,-0.0138996,0,0,0
21,-0.0056801,0.0880201,0.0654418,0.0259104,0.300654,0.0246901,0,0,-0.00011289,-0.00113334,0,0,0
22,-0.945021,-0.825164,0.444217,0.283739,-0.482187,-0.408782,0,0,0.0433459,0.0414728,0,0,0
23,-0.879203,-0.435544,0.0253579,-0.177423,-0.268744,-0.16946,0,0,-0.0325432,-0.0279093,0,0,0
24,0.0512961,0.424416,-0.0204368,-0.0338988,0.303161,0.16906,0,0,-0.0233862,-0.015963,0,0,0
25,0.262,0.401944,0.070094,0.165997,-0.204545,-0.256564,0,0,0.0509298,0.0492098,0,0,0
26,-1.14438,-1.7898,0.134597,0.487894,-0.815322,-1.09638,0,0,0.102106,0.0767293,0,0,0
27,-0.867347,-0.673653,-0.254686,-0.173885,-0.129547,0.0155482,0,0,-0.0355412,-0.0344862,0,0,0
28,-0.212944,-0.0940479,-0.195197,-0.245089,-0.176511,0.0400425,0,0,-0.0499891,-0.0454574,0,0,0
29,-0.443795,-0.453092,-0.0476346,0.0564018,-0.134209,-0.247683,0,0,0.0257963,0.00388305,0,0,0
30,-0.0349866,-0.213325,-0.270276,-0.258244,0.426553,0.513303,0,0,-0.0481147,-0.0529707,0,0,0
31,-0.308764,-0.149401,-0.186887,0.0355454,-0.397464,-0.164249,0,0,0.00230664,0.00833469,0,0,0
32,-1.49484,-1.45927,-0.280337,-0.0114603,-0.579148,-0.79778,0,0,0.0204526,0.00827255,0,0,0
33,0.242036,0.41764,-0.36975,0.0414941,-0.408863,-0.139588,0,0,0.00835232,0.0109155,0,0,0
34,-2.6186,-2.37581,0.41885,0.511522,-2.06403,-1.31415,0,0,0.0635745,0.0812388,0,0,0
