rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,dI_simulated,w_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_w_simulated,data,split,color,filter
1,35,-6.73318,-1.86696,0.478855,0.0184055,-4.97287,0.0464013,-2.99573,0,-4.12535,-0.0547552,4.6,0,thai,All,#4682B4,0
2,35,-6.24385,-1.37763,0.491988,0.0315383,-4.98138,0.0378857,-2.99573,0,-4.06424,0.00635735,4.6,0,thai,All,#4682B4,0
3,35,-5.90017,-1.03395,0.428445,-0.0320042,-4.85766,0.161605,-2.99573,0,-3.99092,0.0796817,4.6,0,thai,All,#4682B4,0
4,35,-10.2671,-5.40089,0.403404,-0.0570454,-4.8761,0.143172,-2.99573,0,-3.97281,0.0977897,4.6,0,thai,All,#4682B4,0
5,35,-4.90917,-0.0429482,0.431,-0.029449,-5.26918,-0.24991,-2.99573,0,-4.05002,0.0205831,4.6,0,thai,All,#4682B4,0
6,35,-5.44326,-0.577043,0.407287,-0.0531628,-5.24269,-0.223425,-2.99573,0,-4.16197,-0.091367,4.6,0,thai,All,#4682B4,0
7,35,-4.89528,-0.0290644,0.460899,0.000449509,-4.96039,0.0588774,-2.99573,0,-4.02702,0.0435762,4.6,0,thai,All,#4682B4,0
8,35,-9.3422,-4.47598,0.457546,-0.00290285,-5.07852,-0.0592507,-2.99573,0,-4.20183,-0.131227,4.6,0,thai,All,#4682B4,0
9,35,-4.5759,0.290314,0.443862,-0.0165872,-5.1104,-0.0911373,-2.99573,0,-4.04952,0.0210758,4.6,0,thai,All,#4682B4,0
10,35,-7.299,-2.43278,0.482417,0.0219677,-5.00177,0.0174971,-2.99573,0,-4.14862,-0.0780204,4.6,0,thai,All,#4682B4,0
1,36,-0.50041,4.36581,0.46027,-0.000179768,-4.96727,0.0519963,-2.99573,0,-3.99671,0.0738887,4.6,0,thai,All,#4682B4,0
2,36,-0.514101,4.35212,0.497919,0.0374697,-5.16424,-0.144971,-2.99573,0,-4.10635,-0.0357489,4.6,0,thai,All,#4682B4,0
3,36,-0.514101,4.35212,0.544129,0.0836795,-5.06372,-0.0444513,-2.99573,0,-4.08572,-0.0151213,4.6,0,thai,All,#4682B4,0
4,36,-0.882264,3.98396,0.461433,0.000983574,-4.92903,0.0902385,-2.99573,0,-3.97541,0.0951849,4.6,0,thai,All,#4682B4,0
5,36,-0.715986,4.15023,0.492368,0.031919,-5.18832,-0.169052,-2.99573,0,-4.13269,-0.06209,4.6,0,thai,All,#4682B4,0
6,36,-0.212432,4.65379,0.48017,0.0197206,-5.17137,-0.152099,-2.99573,0,-4.02338,0.0472193,4.6,0,thai,All,#4682B4,0
7,36,-0.580547,4.28567,0.504942,0.0444928,-4.94874,0.0705268,-2.99573,0,-4.01147,0.0591294,4.6,0,thai,All,#4682B4,0
8,36,-0.454256,4.41196,0.539674,0.0792246,-5.09232,-0.0730521,-2.99573,0,-4.02781,0.0427891,4.6,0,thai,All,#4682B4,0
9,36,-0.551518,4.3147,0.433639,-0.0268102,-5.00192,0.0173495,-2.99573,0,-4.01622,0.0543792,4.6,0,thai,All,#4682B4,0
10,36,-0.298529,4.56769,0.535428,0.0749783,-5.02676,-0.00749556,-2.99573,0,-3.9799,0.0907015,4.6,0,thai,All,#4682B4,0
1,37,-4.64932,0.216903,0.46868,0.00823059,-5.0231,-0.00383284,-2.99573,0,-4.15024,-0.079644,4.6,0,thai,All,#4682B4,0
2,37,-2.23072,2.6355,0.542791,0.0823414,-4.93682,0.0824426,-2.99573,0,-4.07557,-0.00497195,4.6,0,thai,All,#4682B4,0
3,37,-5.25691,-0.390691,0.556728,0.0962782,-4.97171,0.0475563,-2.99573,0,-4.15186,-0.0812578,4.6,0,thai,All,#4682B4,0
4,37,-6.05114,-1.18492,0.4838,0.0233503,-4.77937,0.239902,-2.99573,0,-4.16485,-0.0942539,4.6,0,thai,All,#4682B4,0
5,37,-2.72454,2.14168,0.395255,-0.0651941,-5.01707,0.00219326,-2.99573,0,-4.05372,0.0168833,4.6,0,thai,All,#4682B4,0
6,37,-4.44914,0.417083,0.612623,0.152174,-5.02196,-0.00269692,-2.99573,0,-4.18366,-0.113057,4.6,0,thai,All,#4682B4,0
7,37,-3.60775,1.25847,0.381747,-0.0787028,-4.89857,0.120702,-2.99573,0,-3.99443,0.0761703,4.6,0,thai,All,#4682B4,0
8,37,-4.8673,-0.00108617,0.448171,-0.0122783,-4.80055,0.21872,-2.99573,0,-4.02515,0.0454518,4.6,0,thai,All,#4682B4,0
9,37,-4.54622,0.319996,0.456836,-0.00361354,-5.03679,-0.0175179,-2.99573,0,-4.19031,-0.119707,4.6,0,thai,All,#4682B4,0
10,37,-2.12898,2.73724,0.481696,0.0212471,-5.10809,-0.0888245,-2.99573,0,-4.01161,0.0589941,4.6,0,thai,All,#4682B4,0
1,38,-8.01548,-3.14926,0.518206,0.0577566,-5.0266,-0.00733775,-2.99573,0,-4.10251,-0.0319127,4.6,0,thai,All,#4682B4,0
2,38,-11.4466,-6.5804,0.455234,-0.00521485,-5.00589,0.0133792,-2.99573,0,-4.18565,-0.115052,4.6,0,thai,All,#4682B4,0
3,38,-7.70873,-2.84251,0.442241,-0.0182085,-4.94465,0.0746171,-2.99573,0,-4.101,-0.0303992,4.6,0,thai,All,#4682B4,0
4,38,-6.86376,-1.99755,0.460959,0.000509955,-4.91753,0.101733,-2.99573,0,-4.11216,-0.0415559,4.6,0,thai,All,#4682B4,0
5,38,-4.17655,0.689665,0.464936,0.00448714,-5.04698,-0.0277091,-2.99573,0,-4.06743,0.00317332,4.6,0,thai,All,#4682B4,0
6,38,-5.87962,-1.0134,0.48127,0.0208208,-4.993,0.0262712,-2.99573,0,-4.10353,-0.0329313,4.6,0,thai,All,#4682B4,0
7,38,-8.50408,-3.63786,0.61882,0.15837,-4.98982,0.0294508,-2.99573,0,-4.17511,-0.104509,4.6,0,thai,All,#4682B4,0
8,38,-6.65383,-1.78761,0.377056,-0.0833936,-5.22713,-0.207863,-2.99573,0,-4.1474,-0.0768052,4.6,0,thai,All,#4682B4,0
9,38,-6.50776,-1.64155,0.451688,-0.00876104,-5.10347,-0.0842008,-2.99573,0,-4.10055,-0.0299553,4.6,0,thai,All,#4682B4,0
10,38,-5.77342,-0.907197,0.483469,0.0230195,-4.94511,0.0741537,-2.99573,0,-4.04551,0.0250912,4.6,0,thai,All,#4682B4,0
1,39,-7.1417,-2.27548,0.502089,0.0416398,-5.02733,-0.0080649,-2.99573,0,-4.21346,-0.142864,4.6,0,thai,All,#4682B4,0
2,39,-5.32982,-0.463601,0.431597,-0.0288528,-4.81613,0.20314,-2.99573,0,-4.17979,-0.109192,4.6,0,thai,All,#4682B4,0
3,39,-5.50773,-0.641512,0.536666,0.0762171,-4.81761,0.201656,-2.99573,0,-4.12837,-0.0577735,4.6,0,thai,All,#4682B4,0
4,39,-7.75459,-2.88837,0.455212,-0.00523764,-4.7891,0.230168,-2.99573,0,-4.11688,-0.0462843,4.6,0,thai,All,#4682B4,0
5,39,-6.80688,-1.94066,0.448606,-0.0118431,-4.80658,0.212685,-2.99573,0,-4.1663,-0.0957042,4.6,0,thai,All,#4682B4,0
6,39,-7.2135,-2.34729,0.348969,-0.11148,-4.89071,0.128558,-2.99573,0,-4.10246,-0.0318564,4.6,0,thai,All,#4682B4,0
7,39,-7.28857,-2.42235,0.466687,0.0062381,-4.95268,0.0665864,-2.99573,0,-4.21662,-0.146019,4.6,0,thai,All,#4682B4,0
8,39,-6.41738,-1.55117,0.503637,0.0431873,-5.06113,-0.041863,-2.99573,0,-4.23198,-0.161377,4.6,0,thai,All,#4682B4,0
9,39,-6.45951,-1.59329,0.480349,0.0198994,-4.88954,0.129723,-2.99573,0,-4.15196,-0.0813568,4.6,0,thai,All,#4682B4,0
10,39,-6.86967,-2.00345,0.383584,-0.0768655,-5.02662,-0.00735396,-2.99573,0,-4.16339,-0.0927924,4.6,0,thai,All,#4682B4,0
1,40,-5.57866,-0.712437,0.369725,-0.0907242,-5.19106,-0.171792,-2.99573,0,-4.14743,-0.07683,4.6,0,thai,All,#4682B4,0
2,40,-5.68692,-0.820698,0.348096,-0.112353,-5.04355,-0.0242804,-2.99573,0,-4.03001,0.0405864,4.6,0,thai,All,#4682B4,0
3,40,-7.06229,-2.19607,0.441023,-0.0194266,-4.91786,0.101403,-2.99573,0,-4.0719,-0.00129771,4.6,0,thai,All,#4682B4,0
4,40,-6.1934,-1.32718,0.421381,-0.0390684,-4.87889,0.140381,-2.99573,0,-4.08973,-0.0191306,4.6,0,thai,All,#4682B4,0
5,40,-5.83562,-0.969397,0.356098,-0.104351,-5.14041,-0.121144,-2.99573,0,-4.11048,-0.0398778,4.6,0,thai,All,#4682B4,0
6,40,-5.55808,-0.691866,0.339604,-0.120845,-5.05092,-0.0316485,-2.99573,0,-4.04536,0.0252391,4.6,0,thai,All,#4682B4,0
7,40,-5.97742,-1.1112,0.43601,-0.0244391,-4.97782,0.041445,-2.99573,0,-4.09114,-0.0205432,4.6,0,thai,All,#4682B4,0
8,40,-6.55623,-1.69001,0.510636,0.0501867,-5.13108,-0.111815,-2.99573,0,-4.17947,-0.108875,4.6,0,thai,All,#4682B4,0
9,40,-7.71616,-2.84994,0.519436,0.0589862,-5.06634,-0.0470766,-2.99573,0,-4.13462,-0.0640254,4.6,0,thai,All,#4682B4,0
10,40,-8.4899,-3.62368,0.373769,-0.0866803,-4.84675,0.172513,-2.99573,0,-4.12272,-0.0521226,4.6,0,thai,All,#4682B4,0
1,41,-4.15497,0.711247,0.435761,-0.0246885,-4.83048,0.188783,-2.99573,0,-4.03343,0.0371688,4.6,0,thai,All,#4682B4,0
2,41,-3.57272,1.2935,0.501714,0.0412649,-4.94585,0.0734184,-2.99573,0,-4.1063,-0.0356983,4.6,0,thai,All,#4682B4,0
