popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
3.11939,3.28883,3.11939,2.57016,3.78599,0.990915,1.05433,0.990915,0.816443,1.20267,All
3.16666,3.43088,3.16666,2.6091,3.84336,1.03111,1.09133,1.03111,0.849557,1.25145,All
3.18933,3.49903,3.18933,2.62778,3.87088,1.07293,1.12985,1.07293,0.884014,1.30221,All
3.21464,3.54443,3.21464,2.64863,3.9016,1.11577,1.16934,1.11577,0.919318,1.35421,All
3.25928,3.56712,3.25928,2.68541,3.95577,1.11644,1.16996,1.11644,0.919869,1.35502,All
3.26335,3.56918,3.26335,2.68877,3.96071,1.16172,1.21174,1.16172,0.957178,1.40998,All
3.3128,3.59431,3.3128,2.72951,4.02073,1.20884,1.25529,1.20884,0.996,1.46717,All
3.32922,3.60266,3.32922,2.74304,4.04066,1.24063,1.2847,1.24063,1.02219,1.50575,All
3.36299,3.59682,3.36299,2.77087,4.08165,1.25787,1.30068,1.25787,1.0364,1.52667,All
3.39916,3.56983,3.39916,2.80067,4.12555,1.30889,1.34802,1.30889,1.07843,1.58859,All
3.41395,3.55632,3.41395,2.81285,4.1435,1.36198,1.39741,1.36198,1.12217,1.65302,All
3.46568,3.50907,3.46568,2.85547,4.20628,1.36549,1.40069,1.36549,1.12507,1.65729,All
3.46911,3.50614,3.46911,2.8583,4.21044,1.41722,1.44899,1.41722,1.16768,1.72007,All
3.51819,3.48109,3.51819,2.89874,4.27002,1.4747,1.50294,1.4747,1.21504,1.78983,All
3.53905,3.47363,3.53905,2.91593,4.29533,1.49035,1.51766,1.49035,1.22794,1.80883,All
3.5715,3.46202,3.5715,2.94266,4.33472,1.53451,1.55921,1.53451,1.26433,1.86243,All
3.60899,3.4695,3.60899,2.97356,4.38022,1.59675,1.61807,1.59675,1.31561,1.93796,All
3.62562,3.48589,3.62562,2.98725,4.4004,1.6152,1.63559,1.6152,1.33081,1.96037,All
3.67894,3.67088,3.67894,3.03118,4.46511,1.66151,1.67971,1.66151,1.36896,2.01657,All
3.68056,3.67649,3.68056,3.03252,4.46708,1.7289,1.7443,1.7289,1.42449,2.09836,All
3.73633,3.86998,3.73633,3.07847,4.53477,1.74006,1.75505,1.74006,1.43369,2.11191,All
3.74888,3.91354,3.74888,3.08881,4.55,1.79902,1.81203,1.79902,1.48226,2.18346,All
3.79294,4.0664,3.79294,3.12511,4.60348,1.86492,1.8762,1.86492,1.53656,2.26345,All
3.81882,4.16708,3.81882,3.14644,4.63489,1.87198,1.88311,1.87198,1.54238,2.27202,All
3.85041,4.03755,3.85041,3.17247,4.67323,1.94791,1.9578,1.94791,1.60494,2.36417,All
3.88877,4.1746,3.88877,3.20407,4.71978,1.98978,1.99931,1.98978,1.63944,2.41499,All
3.90876,4.24683,3.90876,3.22054,4.74404,2.02691,2.03635,2.02691,1.67003,2.46006,All
3.95871,4.31757,3.95871,3.2617,4.80467,2.10912,2.11907,2.10912,1.73777,2.55984,All
3.96798,4.33697,3.96798,3.26934,4.81593,2.11464,2.12466,2.11464,1.74231,2.56653,All
4.02811,4.25705,4.02811,3.31887,4.8889,2.19467,2.20629,2.19467,1.80825,2.66366,All
4.02865,4.25587,4.02865,3.31933,4.88957,2.23949,2.2525,2.23949,1.84518,2.71807,All
4.08914,4.3572,4.08914,3.36916,4.96298,2.28368,2.2983,2.28368,1.88159,2.7717,All
4.0986,4.39016,4.0986,3.37695,4.97446,2.36435,2.38246,2.36435,1.94806,2.86961,All
4.1511,4.38488,4.1511,3.42021,5.03818,2.3763,2.39497,2.3763,1.95791,2.88411,All
4.16854,4.34031,4.16854,3.43458,5.05935,2.47268,2.49594,2.47268,2.03732,3.00109,All
4.214,4.36932,4.214,3.47204,5.11452,2.48921,2.51325,2.48921,2.05093,3.02115,All
4.23849,4.43478,4.23849,3.49221,5.14424,2.57297,2.60075,2.57297,2.11995,3.12281,All
4.27785,4.53586,4.27785,3.52465,5.19202,2.61407,2.64345,2.61407,2.15381,3.17269,All
4.30843,4.57938,4.30843,3.54984,5.22913,2.67733,2.70872,2.67733,2.20593,3.24947,All
