rep,ID,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_dI_simulated,eta_n_simulated,split,color,filter
1,10066,4.10924,0.108643,-1.0008,0,-0.448338,0,All,#4682B4,0
2,10066,0.439842,-0.452868,-0.625573,0,-0.217682,0,All,#4682B4,0
3,10066,5.18663,-0.132103,-1.08223,0,-0.456219,0,All,#4682B4,0
4,10066,3.40986,-0.391712,-0.627802,0,-0.226836,0,All,#4682B4,0
5,10066,3.82451,-0.262348,-1.07313,0,-0.423645,0,All,#4682B4,0
6,10066,2.40158,-0.376368,-0.824533,0,-0.292069,0,All,#4682B4,0
7,10066,2.06579,-0.153694,-0.903753,0,-0.427007,0,All,#4682B4,0
8,10066,2.93349,-0.50073,-0.725899,0,-0.233636,0,All,#4682B4,0
9,10066,2.42997,-0.0359512,-1.00448,0,-0.485591,0,All,#4682B4,0
10,10066,-1.50268,-0.449619,-0.596539,0,-0.24205,0,All,#4682B4,0
1,10203,7.14129,0.771289,2.20945,0,0.90264,0,All,#4682B4,0
2,10203,5.81895,0.515213,2.47259,0,1.03619,0,All,#4682B4,0
3,10203,6.20818,0.735902,2.07738,0,0.887793,0,All,#4682B4,0
4,10203,6.52745,0.723742,2.40315,0,0.984544,0,All,#4682B4,0
5,10203,6.29111,0.631751,1.95734,0,0.837033,0,All,#4682B4,0
6,10203,6.25569,0.595093,2.56512,0,1.10208,0,All,#4682B4,0
7,10203,5.83267,0.603666,1.91395,0,0.841262,0,All,#4682B4,0
8,10203,4.96774,0.503817,2.3015,0,0.995212,0,All,#4682B4,0
9,10203,5.37367,0.608349,1.84708,0,0.831098,0,All,#4682B4,0
10,10203,2.84094,0.523443,2.46464,0,1.03532,0,All,#4682B4,0
1,10220,7.41552,0.38258,2.75162,0,1.15975,0,All,#4682B4,0
2,10220,7.44442,-0.0380741,2.49992,0,1.07228,0,All,#4682B4,0
3,10220,7.33,0.364959,2.86316,0,1.1753,0,All,#4682B4,0
4,10220,7.56544,-0.173228,2.50591,0,1.08549,0,All,#4682B4,0
5,10220,9.85528,0.37777,2.71247,0,1.11395,0,All,#4682B4,0
6,10220,8.21337,-0.0755466,2.52385,0,1.05369,0,All,#4682B4,0
7,10220,9.33982,0.369437,2.50093,0,1.08574,0,All,#4682B4,0
8,10220,5.95018,-0.309328,2.62084,0,1.15984,0,All,#4682B4,0
9,10220,10.0685,0.371938,2.45146,0,1.08671,0,All,#4682B4,0
10,10220,9.45847,-0.0804201,2.60918,0,1.14787,0,All,#4682B4,0
1,10428,1.25226,-0.48588,0.270732,0,0.147062,0,All,#4682B4,0
2,10428,6.16353,-0.0695126,0.434594,0,0.221907,0,All,#4682B4,0
3,10428,2.42319,-0.450772,-0.00274129,0,0.0717892,0,All,#4682B4,0
4,10428,4.57844,-0.128992,0.339206,0,0.136607,0,All,#4682B4,0
5,10428,2.50775,-0.339964,0.24179,0,0.110567,0,All,#4682B4,0
6,10428,1.81697,-0.297133,0.265237,0,0.127533,0,All,#4682B4,0
7,10428,3.86727,-0.435421,0.0315412,0,0.063512,0,All,#4682B4,0
8,10428,2.66143,-0.269653,0.394082,0,0.164328,0,All,#4682B4,0
9,10428,2.38314,-0.414953,0.182628,0,0.113319,0,All,#4682B4,0
10,10428,4.1454,-0.335801,0.24425,0,0.157655,0,All,#4682B4,0
1,10435,1.70208,-0.191714,-0.564152,0,-0.189085,0,All,#4682B4,0
2,10435,1.57034,-0.298011,-0.259165,0,-0.065036,0,All,#4682B4,0
3,10435,1.24005,-0.188659,-0.541191,0,-0.198023,0,All,#4682B4,0
4,10435,1.2329,-0.180975,-0.261095,0,-0.0969493,0,All,#4682B4,0
5,10435,0.852045,-0.198204,-0.554912,0,-0.187836,0,All,#4682B4,0
6,10435,1.22949,-0.210353,-0.52739,0,-0.180027,0,All,#4682B4,0
7,10435,1.69862,-0.124972,-0.555725,0,-0.177005,0,All,#4682B4,0
8,10435,2.59298,-0.185511,-0.730438,0,-0.23492,0,All,#4682B4,0
9,10435,3.04572,-0.0104946,-0.712116,0,-0.279929,0,All,#4682B4,0
10,10435,2.88423,-0.183968,-0.75953,0,-0.243683,0,All,#4682B4,0
1,10463,9.77514,-0.133306,-0.859149,0,-0.295539,0,All,#4682B4,0
2,10463,9.30233,0.206049,-0.368789,0,-0.161485,0,All,#4682B4,0
3,10463,10.1351,-0.024944,-0.819169,0,-0.276582,0,All,#4682B4,0
4,10463,10.2995,0.189616,-0.314975,0,-0.14713,0,All,#4682B4,0
5,10463,9.52026,0.000784542,-0.812128,0,-0.317887,0,All,#4682B4,0
6,10463,8.82601,0.173968,-0.290302,0,-0.155789,0,All,#4682B4,0
7,10463,8.38856,-0.0308033,-0.925451,0,-0.382541,0,All,#4682B4,0
8,10463,9.20474,0.141233,-0.635871,0,-0.257386,0,All,#4682B4,0
9,10463,9.83021,-0.00746279,-0.669156,0,-0.298253,0,All,#4682B4,0
10,10463,9.17346,0.213056,-0.707585,0,-0.286126,0,All,#4682B4,0
