initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,dI_abscissa,dI_pdf,n_abscissa,n_pdf,split
-40.0435,0.00263096,0.349551,0.241032,0.00144677,295.652,-6.25066,0.0678412,0.545591,0.256258,0.0306721,6.58372,All
-38.4246,0.00263096,0.446737,0.65736,0.00431352,43.8278,-6.09371,0,0.911238,0.471748,0.0565486,9.79328,All
-36.8058,0.00394644,0.543924,1.6434,0.00718027,17.0854,-5.93676,0,1.27689,0.64647,0.0824251,7.24209,All
-35.1869,0.00131548,0.64111,1.55575,0.010047,3.71422,-5.77981,0.0407047,1.64253,0.378563,0.108302,5.26697,All
-33.5681,0.00920835,0.738296,1.59958,0.0129138,2.22853,-5.62285,0.23066,2.00818,0.285378,0.134178,4.03253,All
-31.9493,0.0118393,0.835483,0.964128,0.0157805,0.742845,-5.4659,0.46132,2.37383,0.221314,0.160055,2.05741,All
-30.3304,0.0157857,0.932669,1.24898,0.0186473,0,-5.30895,0.379911,2.73947,0.203842,0.185931,1.48134,All
-28.7116,0.0144703,1.02986,0.679272,0.021514,0,-5.152,0.352774,3.10512,0.151425,0.211808,0.987557,All
-27.0928,0.030256,1.12704,0.635448,0.0243807,0,-4.99505,0.502025,3.47077,0.0640645,0.237684,0.905261,All
-25.4739,0.0157857,1.22423,0.591624,0.0272475,0,-4.8381,0.854799,3.83642,0.0407683,0.263561,0.658372,All
-23.8551,0.0184167,1.32141,0.32868,0.0301142,0,-4.68115,0.556298,4.20206,0.0465924,0.289437,0.493779,All
-22.2362,0.0171012,1.4186,0.21912,0.032981,0,-4.5242,0.583434,4.56771,0.0232962,0.315314,0.0822965,All
-20.6174,0.0289405,1.51579,0.043824,0.0358477,0,-4.36725,0.542729,4.93336,0.0291202,0.341191,0,All
-18.9986,0.0289405,1.61297,0.087648,0.0387145,0,-4.2103,0.488456,5.299,0,0.367067,0.329186,All
-17.3797,0.0315715,1.71016,0.021912,0.0415812,0,-4.05334,0.420615,5.66465,0,0.392944,0.0822965,All
-15.7609,0.0460418,1.80735,0,0.044448,0,-3.89639,0.271365,6.0303,0.00582405,0.41882,0.0822965,All
-14.1421,0.0526192,1.90453,0.021912,0.0473147,0,-3.73944,0.556298,6.39595,0.00582405,0.444697,0,All
-12.5232,0.0526192,2.00172,0.021912,0.0501815,0,-3.58249,0.203524,6.76159,0,0.470573,0,All
-10.9044,0.0473572,2.09891,0,0.0530482,0,-3.42554,0.108546,7.12724,0.00582405,0.49645,0.164593,All
-9.28554,0.0578811,2.19609,0.087648,0.055915,0,-3.26859,0.0135682,7.49289,0,0.522326,0,All
-7.6667,0.0710359,2.29328,0.021912,0.0587817,0,-3.11164,0,7.85853,0,0.548203,0,All
-6.04787,0.0591966,2.39047,0.021912,0.0616485,0,-2.95469,0,8.22418,0,0.574079,0,All
-4.42903,0.0249941,2.48765,0.043824,0.0645152,0.742845,-2.79774,0.0135682,8.58983,0.0174721,0.599956,0.0822965,All
