initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,dI_abscissa,dI_pdf,n_abscissa,n_pdf,split
-2.94162,0.0217929,-2.54248,0.0327422,-2.75012,0.0393223,-2.89913,0.038823,-2.45492,0.0259292,-2.25434,0.0275291,All
-2.74618,0.0217929,-2.28232,0.0163711,-2.47934,0,-2.62487,0,-2.20854,0.0432154,-2.02227,0.0367055,All
-2.55075,0.0326894,-2.02216,0.0409278,-2.20856,0,-2.3506,0,-1.96215,0.103717,-1.7902,0.0825873,All
-2.35531,0.0108965,-1.762,0.07367,-1.93777,0.0550512,-2.07634,0.0232938,-1.71576,0.0432154,-1.55814,0.0825873,All
-2.15988,0.0762753,-1.50185,0.122783,-1.66699,0.235934,-1.80208,0.131998,-1.46937,0.155575,-1.32607,0.256938,All
-1.96444,0.0980682,-1.24169,0.229195,-1.39621,0.21234,-1.52781,0.263997,-1.22299,0.22472,-1.094,0.321173,All
-1.76901,0.130758,-0.981527,0.29468,-1.12543,0.220205,-1.25355,0.217409,-0.976598,0.250649,-0.86193,0.339526,All
-1.57357,0.119861,-0.721367,0.335608,-0.85465,0.290985,-0.979285,0.20188,-0.73021,0.259292,-0.629861,0.275291,All
-1.37814,0.250619,-0.461208,0.417463,-0.583869,0.353901,-0.705022,0.28729,-0.483822,0.475369,-0.397793,0.449642,All
-1.1827,0.130758,-0.201049,0.351979,-0.313088,0.424681,-0.430758,0.48917,-0.237435,0.397581,-0.165724,0.367055,All
-0.987269,0.152551,0.0591108,0.376535,-0.042307,0.251663,-0.156495,0.318349,0.00895312,0.388938,0.0663448,0.40376,All
-0.791835,0.141654,0.31927,0.335608,0.228474,0.322443,0.117769,0.333878,0.255341,0.354366,0.298413,0.385407,All
-0.5964,0.239722,0.579429,0.376535,0.499255,0.353901,0.392032,0.310584,0.501729,0.302508,0.530482,0.422113,All
-0.400965,0.239722,0.839589,0.270123,0.770036,0.235934,0.666296,0.279526,0.748117,0.302508,0.762551,0.247762,All
-0.205531,0.261515,1.09975,0.253752,1.04082,0.228069,0.940559,0.240703,0.994504,0.319794,0.994619,0.247762,All
-0.0100962,0.381376,1.35991,0.229195,1.3116,0.235934,1.21482,0.155292,1.24089,0.233363,1.22669,0.155998,All
0.185338,0.435859,1.62007,0.0982266,1.58238,0.220205,1.48909,0.318349,1.48728,0.155575,1.45876,0.165175,All
0.380773,0.435859,1.88023,0.0491133,1.85316,0.125831,1.76335,0.116469,1.73367,0.0691446,1.69083,0.110116,All
0.576208,0.392273,2.14039,0.0245567,2.12394,0.0314578,2.03761,0.0621168,1.98006,0.0777876,1.92289,0.0367055,All
0.771642,0.479445,2.40054,0.00818555,2.39472,0.00786446,2.31188,0.0077646,2.22644,0,2.15496,0.0367055,All
0.967077,0.588409,2.6607,0.00818555,2.6655,0,2.58614,0,2.47283,0.0172861,2.38703,0.0183527,All
1.16251,0.490341,2.92086,0.0409278,2.93629,0,2.8604,0,2.71922,0.00864307,2.6191,0.0183527,All
1.35795,0.207033,3.18102,0.0245567,3.20707,0.00786446,3.13467,0.0077646,2.96561,0.0259292,2.85117,0.00917637,All
