rep,ID,standEta_initT_simulated,standEta_aS_simulated,standEta_dS_simulated,standEta_lBt0_simulated,standEta_dI_simulated,standEta_n_simulated,filter
1,10066,0.496089,0.304994,-0.733176,0,-0.797548,0,0
2,10066,0.0531001,-1.27133,-0.458287,0,-0.387234,0,0
3,10066,0.626157,-0.370851,-0.792831,0,-0.811568,0,0
4,10066,0.411656,-1.09965,-0.45992,0,-0.403519,0,0
5,10066,0.461715,-0.736489,-0.78616,0,-0.753621,0,0
6,10066,0.289932,-1.05658,-0.604042,0,-0.519562,0,0
7,10066,0.249393,-0.431465,-0.662078,0,-0.759602,0,0
8,10066,0.354147,-1.4057,-0.531785,0,-0.415614,0,0
9,10066,0.293359,-0.100926,-0.735871,0,-0.863817,0,0
10,10066,-0.181411,-1.26221,-0.437017,0,-0.430582,0,0
1,10203,0.862134,2.16523,1.61861,0,1.6057,0,0
2,10203,0.702494,1.44635,1.81139,0,1.84328,0,0
3,10203,0.749484,2.06589,1.52186,0,1.57929,0,0
4,10203,0.788029,2.03176,1.76052,0,1.7514,0,0
5,10203,0.759496,1.77351,1.43392,0,1.489,0,0
6,10203,0.75522,1.6706,1.87917,0,1.96049,0,0
7,10203,0.70415,1.69467,1.40214,0,1.49652,0,0
8,10203,0.599732,1.41436,1.68605,0,1.77038,0,0
9,10203,0.648737,1.70781,1.35315,0,1.47844,0,0
10,10203,0.342973,1.46946,1.80556,0,1.84172,0,0
1,10220,0.89524,1.07402,2.0158,0,2.06307,0,0
2,10220,0.898729,-0.106885,1.83141,0,1.90747,0,0
3,10220,0.884916,1.02455,2.09752,0,2.09074,0,0
4,10220,0.91334,-0.486303,1.8358,0,1.93098,0,0
5,10220,1.18978,1.06051,1.98712,0,1.9816,0,0
6,10220,0.991561,-0.212082,1.84894,0,1.87441,0,0
7,10220,1.12755,1.03712,1.83215,0,1.93142,0,0
8,10220,0.718337,-0.868373,1.91999,0,2.06323,0,0
9,10220,1.21552,1.04414,1.79591,0,1.93315,0,0
10,10220,1.14188,-0.225763,1.91145,0,2.04195,0,0
1,10428,0.151179,-1.36401,0.198335,0,0.261608,0,0
2,10428,0.744094,-0.195142,0.318378,0,0.39475,0,0
3,10428,0.29254,-1.26545,-0.00200823,0,0.127706,0,0
4,10428,0.552733,-0.362118,0.248498,0,0.243009,0,0
5,10428,0.302748,-0.95438,0.177132,0,0.196687,0,0
6,10428,0.219354,-0.83414,0.194309,0,0.226868,0,0
7,10428,0.466877,-1.22235,0.0231067,0,0.112981,0,0
8,10428,0.321301,-0.756996,0.2887,0,0.292323,0,0
9,10428,0.287706,-1.16489,0.133791,0,0.201583,0,0
10,10428,0.500454,-0.942693,0.178935,0,0.280453,0,0
1,10435,0.205484,-0.538197,-0.413291,0,-0.336363,0,0
2,10435,0.18958,-0.836605,-0.189861,0,-0.115692,0,0
3,10435,0.149705,-0.529622,-0.39647,0,-0.352262,0,0
4,10435,0.148842,-0.508051,-0.191275,0,-0.172463,0,0
5,10435,0.102863,-0.556416,-0.406522,0,-0.334142,0,0
6,10435,0.148431,-0.590523,-0.386359,0,-0.320249,0,0
7,10435,0.205066,-0.350832,-0.407117,0,-0.314873,0,0
8,10435,0.313039,-0.520784,-0.535109,0,-0.417899,0,0
9,10435,0.367696,-0.0294615,-0.521687,0,-0.497965,0,0
10,10435,0.348199,-0.516453,-0.556422,0,-0.433487,0,0
1,10463,1.18011,-0.374229,-0.629402,0,-0.525734,0,0
2,10463,1.12303,0.578439,-0.27017,0,-0.287265,0,0
3,10463,1.22356,-0.0700251,-0.600113,0,-0.492012,0,0
4,10463,1.24341,0.532306,-0.230747,0,-0.26173,0,0
5,10463,1.14934,0.00220244,-0.594955,0,-0.565489,0,0
6,10463,1.06552,0.488379,-0.212671,0,-0.277133,0,0
7,10463,1.01271,-0.0864738,-0.677974,0,-0.680502,0,0
8,10463,1.11124,0.396482,-0.465831,0,-0.457864,0,0
9,10463,1.18675,-0.0209502,-0.490215,0,-0.530561,0,0
10,10463,1.10747,0.598111,-0.518368,0,-0.508989,0,0
1,10723,-0.400166,-0.00439056,0.233681,0,0.289167,0,0
2,10723,-0.795135,-0.779886,0.675847,0,0.638205,0,0
3,10723,-0.430741,0.194589,0.358164,0,0.276317,0,0
4,10723,-0.187508,-0.916542,0.544388,0,0.563933,0,0
5,10723,0.410268,0.402027,0.394436,0,0.441309,0,0
6,10723,-0.608741,-1.08564,0.648501,0,0.644717,0,0
7,10723,0.328106,0.050493,0.409652,0,0.490168,0,0
8,10723,0.220037,-0.621294,0.836837,0,0.833153,0,0
9,10723,0.165177,0.168804,0.520648,0,0.593205,0,0
10,10723,0.340295,-0.215881,0.889583,0,0.926037,0,0
1,10739,0.753423,0.334658,-1.64786,0,-1.59457,0,0
2,10739,0.471609,-1.19346,-0.0826069,0,-0.10385,0,0
3,10739,1.00497,0.421223,-1.69087,0,-1.63859,0,0
4,10739,0.411167,-1.45288,0.00184911,0,-0.0823025,0,0
5,10739,1.12427,0.52206,-1.81153,0,-1.74857,0,0
6,10739,0.346384,-1.53586,0.0199732,0,-0.0503884,0,0
7,10739,1.04728,0.467159,-1.75396,0,-1.64137,0,0
8,10739,0.720519,-1.34031,0.0347679,0,0.0311921,0,0
9,10739,0.953099,0.479955,-1.76874,0,-1.67436,0,0
10,10739,0.504459,-1.60468,-0.0387844,0,-0.000637583,0,0
1,10742,0.72023,0.0585205,-1.41303,0,-1.45164,0,0
2,10742,0.635138,0.068429,-1.23969,0,-1.23887,0,0
3,10742,0.720472,-0.199278,-1.50804,0,-1.3957,0,0
4,10742,0.719783,0.231981,-1.25012,0,-1.28884,0,0
5,10742,0.624516,0.345163,-1.23592,0,-1.26435,0,0
6,10742,0.688414,0.310899,-1.25378,0,-1.2617,0,0
7,10742,0.684164,0.779402,-1.10758,0,-1.22029,0,0
8,10742,0.984946,0.627561,-1.39504,0,-1.43274,0,0
9,10742,0.823222,0.596815,-0.949565,0,-1.00788,0,0
10,10742,0.891475,0.125983,-1.66493,0,-1.63856,0,0
1,40007,0.686664,-1.21567,-0.891231,0,-0.998572,0,0
2,40007,1.00145,-0.753396,-1.19058,0,-1.23032,0,0
3,40007,0.880785,-1.05426,-0.911256,0,-0.894063,0,0
4,40007,0.848162,-1.03355,-1.15086,0,-1.19913,0,0
5,40007,0.867984,-1.12037,-0.979526,0,-1.03747,0,0
6,40007,1.01346,-1.02304,-1.18398,0,-1.18644,0,0
7,40007,0.740493,-1.36995,-0.993975,0,-1.0036,0,0
8,40007,0.671323,-1.26752,-1.03535,0,-1.08966,0,0
9,40007,0.793885,-1.26478,-1.10622,0,-1.12305,0,0
10,40007,0.962088,-1.12692,-0.977214,0,-0.990208,0,0
1,40061,1.21623,0.928102,1.42556,0,1.47465,0,0
2,40061,1.2718,1.07759,1.48984,0,1.48789,0,0
3,40061,1.22487,0.899137,1.51307,0,1.55335,0,0
4,40061,1.14936,1.46806,1.45592,0,1.40308,0,0
5,40061,1.2588,1.0845,1.59798,0,1.57739,0,0
6,40061,1.31122,1.23725,1.53296,0,1.50906,0,0
7,40061,1.41035,0.978248,1.50934,0,1.47484,0,0
8,40061,1.26897,1.38483,1.54303,0,1.47816,0,0
9,40061,1.28052,0.813654,1.51845,0,1.53209,0,0
10,40061,1.24074,1.07376,1.70368,0,1.60964,0,0
1,40094,-0.0715821,-1.09442,1.41512,0,1.27309,0,0
2,40094,-0.0905505,-1.82843,1.04393,0,1.01532,0,0
3,40094,0.267899,-0.897819,1.26278,0,1.06942,0,0
4,40094,-0.0887787,-1.69762,0.993294,0,0.903798,0,0
5,40094,0.139365,-0.927386,1.22597,0,1.104,0,0
6,40094,-0.36535,-1.73189,0.993738,0,0.915751,0,0
7,40094,0.289743,-0.779672,0.980493,0,0.81414,0,0
8,40094,-0.304594,-1.46633,1.03115,0,0.912673,0,0
9,40094,-0.0381806,-0.891261,0.895046,0,0.711785,0,0
10,40094,0.161022,-0.989942,1.23939,0,1.10176,0,0
1,40100,0.887528,-0.113046,-1.43045,0,-1.41131,0,0
2,40100,0.559867,-0.392632,-1.56867,0,-1.57043,0,0
3,40100,0.841,0.799583,-1.4077,0,-1.49414,0,0
4,40100,0.486796,0.250224,-1.57973,0,-1.74467,0,0
5,40100,0.652359,0.312047,-1.37198,0,-1.45733,0,0
6,40100,0.566291,0.12915,-1.94795,0,-2.00167,0,0
7,40100,0.871639,-0.232074,-1.59411,0,-1.49048,0,0
8,40100,0.605366,-0.263294,-1.81386,0,-1.78206,0,0
9,40100,0.720135,-0.405939,-1.77077,0,-1.73141,0,0
10,40100,0.348116,-0.794739,-1.75422,0,-1.71659,0,0
1,40123,0.967338,-0.847927,1.65992,0,1.64422,0,0
2,40123,0.978085,-0.609957,1.16861,0,1.15739,0,0
3,40123,0.992106,-1.20322,1.63788,0,1.7085,0,0
4,40123,0.945498,-0.629761,1.21863,0,1.17225,0,0
5,40123,1.02605,-1.03085,1.74091,0,1.76186,0,0
6,40123,0.917751,-0.622159,1.37969,0,1.29559,0,0
7,40123,0.967506,-1.47793,1.35651,0,1.45054,0,0
8,40123,0.990606,-0.333084,1.44878,0,1.39634,0,0
9,40123,0.729123,-1.0693,1.45011,0,1.43267,0,0
10,40123,0.867925,-0.359177,1.41721,0,1.3104,0,0
1,40168,0.382434,-1.87412,0.174627,0,0.159949,0,0
2,40168,0.675662,-1.08264,0.178291,0,0.165559,0,0
3,40168,0.256111,-1.59084,0.208937,0,0.123342,0,0
4,40168,0.146819,-1.03577,0.679575,0,0.454789,0,0
