popPred_spline_abscissa,popPred_spline,popPred_ciAbscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ciAbscissa,indivPred_piLower,indivPred_piUpper,split
4.10773,4.61656,4.10773,3.57347,4.64199,0.728927,0.96784,0.728927,0.194664,1.26319,All
4.14913,4.61691,4.14913,3.61486,4.68339,0.764536,0.996329,0.764536,0.230273,1.2988,All
4.16121,4.64751,4.16121,3.62695,4.69547,0.801885,1.02593,0.801885,0.267622,1.33615,All
4.19094,4.58299,4.19094,3.65667,4.7252,0.841059,1.05698,0.841059,0.306795,1.37532,All
4.21469,4.61577,4.21469,3.68042,4.74895,0.872626,1.082,0.872626,0.338363,1.40689,All
4.23317,4.64903,4.23317,3.69891,4.76743,0.882146,1.08945,0.882146,0.347883,1.41641,All
4.26816,4.66019,4.26816,3.7339,4.80243,0.92524,1.1231,0.92524,0.390977,1.4595,All
4.27583,4.65131,4.27583,3.74157,4.81009,0.97044,1.15818,0.97044,0.436177,1.5047,All
4.31892,4.60897,4.31892,3.78465,4.85318,1.01633,1.1937,1.01633,0.482062,1.55059,All
4.32164,4.61585,4.32164,3.78738,4.8559,1.01785,1.19487,1.01785,0.483585,1.55211,All
4.36244,4.70563,4.36244,3.82818,4.8967,1.06757,1.23323,1.06757,0.533308,1.60183,All
4.37512,4.66198,4.37512,3.84085,4.90938,1.11972,1.27346,1.11972,0.585461,1.65399,All
4.4064,4.61493,4.4064,3.87214,4.94066,1.16003,1.30461,1.16003,0.625762,1.69429,All
4.42859,4.72651,4.42859,3.89433,4.96286,1.17442,1.31578,1.17442,0.640162,1.70869,All
4.45081,4.78333,4.45081,3.91654,4.98507,1.2318,1.36025,1.2318,0.697534,1.76606,All
4.48207,4.62179,4.48207,3.94781,5.01633,1.29197,1.40701,1.29197,0.75771,1.82624,All
4.49566,4.68652,4.49566,3.96139,5.02992,1.30372,1.41622,1.30372,0.769461,1.83799,All
4.53555,4.68741,4.53555,4.00128,5.06981,1.35509,1.45668,1.35509,0.820825,1.88935,All
4.54096,4.70208,4.54096,4.0067,5.07522,1.42129,1.50935,1.42129,0.887024,1.95555,All
4.58672,4.79641,4.58672,4.05246,5.12098,1.44742,1.5303,1.44742,0.913161,1.98169,All
4.58902,4.80008,4.58902,4.05476,5.12329,1.49072,1.56543,1.49072,0.956456,2.02498,All
4.63294,4.79655,4.63294,4.09868,5.1672,1.56354,1.62542,1.56354,1.02928,2.09781,All
4.6425,4.7817,4.6425,4.10824,5.17676,1.59112,1.64847,1.59112,1.05686,2.12539,All
4.67963,4.77049,4.67963,4.14537,5.21389,1.63993,1.6898,1.63993,1.10566,2.17419,All
4.69598,4.79313,4.69598,4.16171,5.23024,1.72004,1.75926,1.72004,1.18578,2.2543,All
4.72679,4.8392,4.72679,4.19252,5.26105,1.73482,1.77231,1.73482,1.20056,2.26909,All
4.74945,4.89251,4.74945,4.21519,5.28372,1.80407,1.83451,1.80407,1.2698,2.33833,All
4.77442,4.95123,4.77442,4.24016,5.30868,1.87852,1.9035,1.87852,1.34426,2.41279,All
4.80293,4.98009,4.80293,4.26867,5.33719,1.8922,1.91643,1.8922,1.35793,2.42646,All
4.82253,4.97446,4.82253,4.28827,5.35679,1.98464,2.00604,1.98464,1.45037,2.5189,All
4.85641,4.96473,4.85641,4.32214,5.39067,2.02222,2.04366,2.02222,1.48796,2.55648,All
4.87113,4.95379,4.87113,4.33687,5.40539,2.08159,2.10463,2.08159,1.54732,2.61585,All
4.90988,4.91949,4.90988,4.37562,5.44415,2.16592,2.19428,2.16592,1.63166,2.70018,All
4.92022,4.91035,4.92022,4.38595,5.45448,2.18328,2.2131,2.18328,1.64901,2.71754,All
4.96336,4.93244,4.96336,4.4291,5.49762,2.28993,2.32991,2.28993,1.75567,2.8242,All
4.9698,4.94219,4.9698,4.43554,5.50406,2.30962,2.35145,2.30962,1.77536,2.84388,All
5.01684,5.01336,5.01684,4.48257,5.5511,2.4018,2.45087,2.4018,1.86754,2.93607,All
5.01988,5.01797,5.01988,4.48562,5.55414,2.45332,2.50463,2.45332,1.91906,2.98758,All
5.07031,5.10119,5.07031,4.53605,5.60458,2.51913,2.57045,2.51913,1.98487,3.0534,All
5.07047,5.10144,5.07047,4.5362,5.60473,2.59702,2.64285,2.59702,2.06276,3.13128,All
