iteration,convergenceIndicator,phase,a,aS_pop,corr_dI_aS,corr_lBt0_dS,corr_n_aS,corr_n_dI,dI_pop,dS_pop,initT_pop,lBt0_pop,n_pop,omega_aS,omega_dI,omega_dS,omega_initT,omega_lBt0,omega_n
1,2230.03,1,0.333504,0.893225,0,0,0,0,1.57001,0.000984091,-15.6684,-4.51123,0.0850774,0.348985,0.618287,1.48362,8.72564,0.623245,0.675584
2,1786.69,1,0.516386,0.856166,0,0,0,0,1.44998,0.000905418,-16.5444,-4.37497,0.108852,0.37951,0.60399,1.44605,8.72152,0.607464,0.658478
3,1789.92,1,0.527551,0.86591,0,0,0,0,1.4469,0.000944412,-16.0353,-4.35826,0.111551,0.380257,0.633334,1.40944,8.50069,0.592083,0.641805
4,1757.92,1,0.515953,0.859979,0,0,0,0,1.43057,0.000995732,-15.4672,-4.32969,0.122865,0.376059,0.652328,1.37375,8.28545,0.577091,0.625554
5,1738.78,1,0.510958,0.832889,0,0,0,0,1.47528,0.000904084,-15.5449,-4.33484,0.121316,0.366537,0.669535,1.33897,8.07565,0.562479,0.609715
6,1694.86,1,0.499571,0.808738,0,0,0,0,1.51574,0.000897823,-15.7092,-4.37538,0.123021,0.357256,0.652582,1.30506,7.87117,0.548236,0.594276
7,1653.8,1,0.486921,0.826004,0,0,0,0,1.55075,0.0008892,-15.9806,-4.38264,0.132404,0.34821,0.641899,1.27202,7.67187,0.534355,0.651643
8,1593.28,1,0.474592,0.822717,0,0,0,0,1.54324,0.000896949,-14.5058,-4.37374,0.132963,0.339393,0.646143,1.23981,7.47762,0.520825,0.635143
9,1568.9,1,0.462575,0.811144,0,0,0,0,1.56773,0.000895262,-14.9617,-4.40385,0.134419,0.341342,0.629782,1.20842,7.28828,0.507637,0.622903
10,1559.31,1,0.455282,0.79942,0,0,0,0,1.52209,0.000951999,-15.2173,-4.38273,0.132545,0.344835,0.629289,1.17782,7.10373,0.494783,0.607131
11,1550.66,1,0.448704,0.792198,0,0,0,0,1.48043,0.000986465,-15.5139,-4.37699,0.133126,0.347176,0.662899,1.148,7.10092,0.482255,0.607068
12,1540.99,1,0.441621,0.77048,0,0,0,0,1.44551,0.000965717,-15.8217,-4.39963,0.129721,0.355079,0.705491,1.11893,7.55629,0.470044,0.591697
13,1542.84,1,0.445417,0.766971,0,0,0,0,1.40902,0.000912777,-15.7689,-4.41123,0.130069,0.346277,0.687627,1.0906,7.55195,0.458142,0.576714
14,1523.3,1,0.440847,0.762937,0,0,0,0,1.37447,0.000964328,-15.3459,-4.41663,0.131644,0.353565,0.670216,1.06298,7.57977,0.450689,0.576319
15,1507.7,1,0.437108,0.755288,0,0,0,0,1.36542,0.000932846,-15.0843,-4.39347,0.13015,0.373055,0.653246,1.03607,7.38785,0.439277,0.561726
16,1480.63,1,0.431798,0.756111,0,0,0,0,1.40368,0.000924635,-14.9311,-4.38933,0.12909,0.373721,0.636705,1.00983,7.20078,0.435549,0.547503
17,1440.56,1,0.420865,0.752639,0,0,0,0,1.42782,0.000951602,-14.9469,-4.40232,0.127722,0.383475,0.638566,0.984264,7.38258,0.42452,0.53364
18,1440.46,1,0.417426,0.743512,0,0,0,0,1.46521,0.000961526,-15.3307,-4.40344,0.12769,0.381631,0.626513,0.959342,7.63206,0.415773,0.520128
19,1437.76,1,0.416258,0.723321,0,0,0,0,1.42335,0.000915573,-15.5196,-4.40589,0.12744,0.397826,0.618169,0.935051,7.53441,0.424942,0.513285
20,1434.01,1,0.414333,0.727455,0,0,0,0,1.39781,0.000936114,-15.4577,-4.40211,0.128462,0.391595,0.619757,0.911375,7.79686,0.414182,0.537502
21,1418.06,1,0.412195,0.722457,0,0,0,0,1.40733,0.000914705,-15.7062,-4.39704,0.126578,0.381679,0.604064,0.888298,7.96096,0.416716,0.537626
22,1405.43,1,0.408966,0.728422,0,0,0,0,1.34557,0.000934432,-15.7212,-4.41029,0.129173,0.372215,0.588769,0.865806,7.93977,0.407092,0.564446
23,1410.6,1,0.411549,0.715267,0,0,0,0,1.30918,0.000940114,-15.8491,-4.41224,0.126722,0.373598,0.593342,0.849561,8.11037,0.409898,0.550154
24,1387.6,1,0.404481,0.723919,0,0,0,0,1.35813,0.000841289,-15.2948,-4.42543,0.131856,0.364139,0.65983,0.864258,7.90501,0.412258,0.536223
25,1386.27,1,0.406526,0.708404,0,0,0,0,1.35435,0.000868636,-15.5273,-4.41685,0.129502,0.355098,0.643122,0.854281,7.70485,0.408781,0.524432
26,1387.38,1,0.404195,0.72001,0,0,0,0,1.38082,0.000859944,-15.3474,-4.40698,0.126622,0.371871,0.626838,0.889221,7.50976,0.415519,0.530959
27,1366.4,1,0.401349,0.703159,0,0,0,0,1.35477,0.000882972,-15.2208,-4.40272,0.125462,0.36949,0.625089,0.867686,7.31961,0.418708,0.523102
28,1365.53,1,0.402706,0.71236,0,0,0,0,1.33618,0.000877145,-15.305,-4.42501,0.125405,0.365203,0.609261,0.873994,7.26105,0.408106,0.523253
29,1361.69,1,0.398811,0.729294,0,0,0,0,1.39542,0.000886146,-15.1446,-4.41283,0.124016,0.371854,0.593834,0.910463,7.0772,0.403736,0.535477
30,1364.29,1,0.399465,0.740175,0,0,0,0,1.42615,0.000889803,-14.9099,-4.40619,0.127801,0.362438,0.613906,0.918974,6.898,0.416388,0.529771
31,1351.41,1,0.396948,0.740374,0,0,0,0,1.47354,0.000870833,-14.8914,-4.41501,0.126467,0.353261,0.627878,0.895706,6.99981,0.417557,0.516357
32,1341.65,1,0.398108,0.740062,0,0,0,0,1.40674,0.000875792,-14.2827,-4.41254,0.124417,0.353037,0.649435,0.873026,6.82258,0.410106,0.503283
33,1331.33,1,0.396042,0.726037,0,0,0,0,1.39417,0.000856158,-14.5285,-4.41501,0.122724,0.347691,0.636948,0.85092,6.64982,0.41505,0.493539
34,1337.78,1,0.392661,0.727841,0,0,0,0,1.42311,0.0008748,-15.0134,-4.41523,0.125891,0.362042,0.68284,0.829374,6.67915,0.412132,0.53152
35,1304.96,1,0.386216,0.730884,0,0,0,0,1.40167,0.000864054,-14.7948,-4.41907,0.127419,0.364213,0.70188,0.808374,6.51003,0.405904,0.518062
36,1302.05,1,0.386313,0.726974,0,0,0,0,1.41138,0.000844188,-14.2814,-4.415,0.126458,0.355529,0.718423,0.787906,6.34519,0.400059,0.511426
37,1283.1,1,0.382391,0.723282,0,0,0,0,1.39107,0.000828483,-14.1243,-4.42167,0.12486,0.363551,0.722162,0.767956,6.18453,0.398219,0.523542
38,1273.05,1,0.378547,0.721362,0,0,0,0,1.39671,0.000833952,-14.3142,-4.4294,0.125141,0.354346,0.721114,0.761685,6.04332,0.396058,0.525576
39,1290.58,1,0.389112,0.72649,0,0,0,0,1.39287,0.000846312,-14.1624,-4.43474,0.120064,0.345374,0.711322,0.742399,5.91369,0.396148,0.512268
40,1276.17,1,0.381287,0.730766,0,0,0,0,1.38039,0.000835777,-14.6415,-4.43533,0.120165,0.336628,0.713615,0.739067,6.60274,0.405819,0.499297
41,1304.23,1,0.388767,0.726379,0,0,0,0,1.39156,0.000842667,-14.6013,-4.4358,0.119156,0.334331,0.720507,0.739942,6.43556,0.408849,0.509872
42,1283.7,1,0.382039,0.728762,0,0,0,0,1.36664,0.000849207,-14.6384,-4.42844,0.122152,0.346016,0.724122,0.752023,6.27261,0.415115,0.506332
43,1304.31,1,0.385107,0.718374,0,0,0,0,1.37463,0.000834013,-14.2458,-4.42947,0.123173,0.359517,0.705787,0.790102,6.11378,0.417073,0.538709
44,1283.38,1,0.380351,0.708059,0,0,0,0,1.32107,0.000809951,-13.7183,-4.42508,0.122234,0.369736,0.696027,0.770096,5.95898,0.406512,0.544063
45,1286.41,1,0.378729,0.70083,0,0,0,0,1.31708,0.000818908,-14.1822,-4.42262,0.127685,0.363774,0.704449,0.783387,5.8994,0.412147,0.567219
46,1303.58,1,0.385181,0.707165,0,0,0,0,1.34897,0.000796014,-14.1145,-4.43335,0.126264,0.374495,0.686612,0.775739,5.87996,0.407989,0.566405
