parameter,value,se_lin,rse_lin
initT_pop,-7.9211206882248,0.580995606083186,7.33476523021382
aS_pop,1.321016024018,0.426083313430696,32.2542123398869
dS_pop,0.000751169515064669,0.000168491523235226,22.4305592620755
tau_pop,0.05,,
lBt0_pop,-4.58527220337927,0.11421661325776,2.49094509969517
lp_pop,4.6,,
dI_pop,2.30949398662046,0.453855415307646,19.6517253535604
n_pop,0.0993651298945549,0.0184523795410081,18.5702766761233
V0_pop,1,,
omega_initT,2.75388229506258,0.464175573837883,16.8553163898872
omega_dS,1.1567807258963,0.164789452211719,14.2455219492039
omega_lBt0,0.543653628961189,0.0650332198987883,11.9622525141704
omega_dI,0.761110011961992,0.0947098949671004,12.4436538054409
omega_n,0.634623833366099,0.0820092882339774,12.922503682062
a,0.320753900863501,0.0107140477502465,3.34027044453809
