initT_abscissa,initT_cdf,aS_abscissa,aS_cdf,dS_abscissa,dS_cdf,lBt0_abscissa,lBt0_cdf,lk_abscissa,lk_cdf,lae_abscissa,lae_cdf,lw_abscissa,lw_cdf,dE_abscissa,dE_cdf,split
-22.6648,0.00196078,10.4988,0,0.00876696,0,-4.90949,0,-5.42574,0.00196078,0.25625,0,-0.0786742,0.00196078,0.0160982,0.00196078,All
-22.5295,0.00392157,12.848,0.00196078,0.011411,0.00196078,-4.75879,0.00196078,-5.26208,0.00392157,0.556649,0.00196078,0.152231,0.00392157,0.021491,0.00392157,All
-21.5022,0.00588235,12.8639,0.00392157,0.0114444,0.00392157,-4.75843,0.00392157,-5.21856,0.00588235,0.631908,0.00392157,0.186058,0.00588235,0.0241968,0.00588235,All
-20.9911,0.00784314,12.8968,0.00588235,0.0114941,0.00588235,-4.7567,0.00588235,-5.20437,0.00784314,0.636753,0.00588235,0.218035,0.00784314,0.0247609,0.00784314,All
-19.891,0.00980392,12.9003,0.00784314,0.0115769,0.00784314,-4.75668,0.00784314,-5.18738,0.00980392,0.666071,0.00784314,0.262909,0.00980392,0.0249008,0.00980392,All
-19.3614,0.0117647,12.9037,0.00980392,0.011584,0.00980392,-4.75571,0.00980392,-5.17536,0.0117647,0.67421,0.00980392,0.316819,0.0117647,0.0257191,0.0117647,All
-18.7595,0.0137255,12.9133,0.0117647,0.0116021,0.0117647,-4.75568,0.0117647,-5.15756,0.0137255,0.675535,0.0117647,0.390858,0.0137255,0.0264244,0.0137255,All
-18.5223,0.0156863,12.9148,0.0137255,0.0116111,0.0137255,-4.75449,0.0137255,-5.13014,0.0156863,0.680532,0.0137255,0.408363,0.0156863,0.0264935,0.0156863,All
-18.2858,0.0176471,12.9325,0.0156863,0.0116122,0.0156863,-4.75432,0.0156863,-5.07718,0.0176471,0.681235,0.0156863,0.408918,0.0176471,0.02671,0.0176471,All
-18.1311,0.0196078,12.9344,0.0176471,0.0116309,0.0176471,-4.7541,0.0176471,-5.06135,0.0196078,0.703953,0.0176471,0.420472,0.0196078,0.0267504,0.0196078,All
-17.8391,0.0215686,12.9602,0.0196078,0.0116358,0.0196078,-4.75394,0.0196078,-5.02027,0.0215686,0.704827,0.0196078,0.42655,0.0215686,0.0267781,0.0215686,All
-17.8225,0.0235294,12.9772,0.0215686,0.0116436,0.0215686,-4.75389,0.0215686,-4.9928,0.0235294,0.71425,0.0215686,0.446304,0.0235294,0.0269198,0.0235294,All
-17.7887,0.0254902,13.0012,0.0235294,0.011644,0.0235294,-4.75386,0.0235294,-4.98017,0.0254902,0.715435,0.0235294,0.525988,0.0254902,0.0270799,0.0254902,All
-17.476,0.027451,13.0316,0.0254902,0.0116577,0.0254902,-4.75378,0.0254902,-4.94449,0.027451,0.717583,0.0254902,0.582127,0.027451,0.0271054,0.027451,All
-17.4754,0.0294118,13.0441,0.027451,0.0116917,0.027451,-4.75306,0.027451,-4.9226,0.0294118,0.727816,0.027451,0.586576,0.0294118,0.0274516,0.0294118,All
-17.4325,0.0313725,13.0555,0.0294118,0.0116953,0.0294118,-4.75302,0.0294118,-4.90156,0.0313725,0.733253,0.0294118,0.61934,0.0313725,0.0279503,0.0313725,All
