initT_abscissa,initT_pdf,initT_cdf,aS_abscissa,aS_pdf,aS_cdf,dS_abscissa,dS_pdf,dS_cdf,lBt0_abscissa,lBt0_pdf,lBt0_cdf,lk_abscissa,lk_pdf,lk_cdf,lae_abscissa,lae_pdf,lae_cdf,lw_abscissa,lw_pdf,lw_cdf,dE_abscissa,dE_pdf,dE_cdf,split
-22.6648,0.000200774,0.00017184,10.4988,1.30689e-53,0,0.00876696,1.36229e-24,0,-4.90949,5.10789e-111,0,-5.42574,0.0118238,0.00186971,0.25625,1.18861e-05,3.61598e-07,-0.0786742,0.00753348,0.0013003,0.0160982,3.74904,0.0360514,All
-22.4437,0.000255077,0.000222014,10.566,7.02766e-51,0,0.0088547,4.69191e-23,0,-4.90608,1.54388e-106,0,-5.39682,0.0139393,0.00224152,0.271912,1.94212e-05,6.02155e-07,-0.0447245,0.00900166,0.00158032,0.0914266,2.97243,0.317601,All
-22.2226,0.000322593,0.000285608,10.6331,3.08163e-48,0,0.00894245,1.40831e-21,0,-4.90266,3.78049e-102,0,-5.3679,0.0163793,0.0026791,0.287574,3.14168e-05,9.93088e-07,-0.0107748,0.0107177,0.00191431,0.166755,1.82357,0.493514,All
-22.0015,0.000406124,0.000365844,10.7003,1.10589e-45,0,0.00903019,3.69755e-20,0,-4.89924,7.49976e-98,0,-5.33898,0.0191833,0.00319242,0.303236,5.03147e-05,1.62207e-06,0.0231748,0.0127154,0.00231123,0.242083,1.21201,0.605614,All
-21.7804,0.000508961,0.000466618,10.7674,3.25936e-43,0,0.00911794,8.52202e-19,0,-4.89582,1.20534e-93,0,-5.31006,0.0223935,0.00379259,0.318898,7.97768e-05,2.62399e-06,0.0571245,0.0150318,0.00278128,0.317412,0.856163,0.682406,All
-21.5593,0.000634937,0.00059261,10.8346,7.91656e-41,0,0.00920568,1.73012e-17,0,-4.89241,1.56941e-89,0,-5.28114,0.0260552,0.00449203,0.334559,0.000125229,4.20404e-06,0.0910741,0.0177069,0.00333594,0.39274,0.63227,0.737865,All
-21.3382,0.000788493,0.000749418,10.9017,1.58996e-38,0,0.00929343,3.10426e-16,0,-4.88899,1.6555e-85,0,-5.25222,0.0302162,0.00530446,0.350221,0.000194619,6.671e-06,0.125024,0.0207838,0.00398811,0.468069,0.482859,0.779511,All
-21.1171,0.000974734,0.000943689,10.9689,2.64916e-36,0,0.00938117,4.93836e-15,0,-4.88557,1.41476e-81,0,-5.22329,0.0349266,0.00624505,0.365883,0.000299441,1.04844e-05,0.158973,0.0243085,0.00475221,0.543397,0.378559,0.811733,All
-20.896,0.00119949,0.00118328,11.036,3.67368e-34,0,0.00946892,6.98709e-14,0,-4.88216,9.79492e-78,0,-5.19437,0.0402388,0.00733045,0.381545,0.000456126,1.63202e-05,0.192923,0.0283298,0.00564426,0.618726,0.303122,0.837263,All
-20.6749,0.00146935,0.00147743,11.1032,4.25338e-32,0,0.00955667,8.81869e-13,0,-4.87874,5.49393e-74,0,-5.16545,0.0462068,0.00857882,0.397207,0.000687872,2.51623e-05,0.226873,0.0328988,0.00668198,0.694054,0.246977,0.857882,All
-20.4538,0.00179175,0.0018369,11.1703,4.12423e-30,0,0.00964441,9.95789e-12,3.33067e-16,-4.87532,2.49649e-70,0,-5.13653,0.0528858,0.0100099,0.412869,0.00102702,3.84256e-05,0.260822,0.0380686,0.00788486,0.769383,0.204191,0.874805,All
-20.2327,0.00217495,0.00227422,11.2375,3.35922e-28,0,0.00973216,1.0088e-10,3.83027e-15,-4.87191,9.1905e-67,0,-5.10761,0.0603316,0.0116452,0.428531,0.00151809,5.81228e-05,0.294772,0.0438941,0.00927423,0.844711,0.170932,0.888883,All
-20.0116,0.00262811,0.00280382,11.3046,2.30516e-26,0,0.0098199,9.194e-10,3.66374e-14,-4.86849,2.74103e-63,0,-5.07869,0.0685998,0.0135075,0.444193,0.0022216,8.70835e-05,0.328722,0.0504308,0.0108733,0.920039,0.144639,0.900731,All
-19.7905,0.00316124,0.00344226,11.3718,1.33655e-24,0,0.00990765,7.55796e-09,3.15303e-13,-4.86507,6.62294e-60,0,-5.04977,0.0777451,0.0156215,0.459855,0.0032187,0.00012924,0.362671,0.0577347,0.0127071,0.995368,0.123545,0.910804,All
-19.5694,0.00378524,0.00420841,11.4389,6.56623e-23,0,0.00999539,5.61843e-08,2.45887e-12,-4.86166,1.29644e-56,0,-5.02085,0.0878204,0.0180133,0.475517,0.00461684,0.000189994,0.396621,0.0658611,0.0148027,1.0707,0.106407,0.919443,All
-19.3483,0.0045118,0.00512365,11.5061,2.74093e-21,0,0.0100831,3.78626e-07,1.74015e-11,-4.85824,2.05597e-53,0,-4.99193,0.0988758,0.0207106,0.491179,0.00655627,0.000276676,0.430571,0.0748639,0.017189,1.14602,0.0923239,0.926912,All
