rep,id_var,initT_simulated,aS_simulated,dS_simulated,lBt0_simulated,lk_simulated,lae_simulated,lw_simulated,dE_simulated,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,data,split,color,filter
1,35,-13.869,-2.92977,2.58385,-0.0126832,-4.4025,-0.0100142,-2.99573,0,-4.73323,0.00712587,4.6,0,-0.105361,0,-3.95062,0.0127077,thai,All,#4682B4,0
2,35,-16.0917,-5.15242,2.60192,0.00538873,-4.3775,0.0149815,-2.99573,0,-4.75571,-0.0153478,4.6,0,-0.105361,0,-4.32873,-0.365407,thai,All,#4682B4,0
3,35,-13.9666,-3.02735,2.59695,0.000423555,-4.36473,0.0277551,-2.99573,0,-4.73496,0.00539966,4.6,0,-0.105361,0,-3.79575,0.167578,thai,All,#4682B4,0
4,35,-13.7729,-2.8336,2.59418,-0.00234638,-4.41538,-0.0229014,-2.99573,0,-4.74279,-0.00242889,4.6,0,-0.105361,0,-3.76983,0.193496,thai,All,#4682B4,0
5,35,-15.4045,-4.46525,2.60294,0.00640976,-4.40161,-0.00912824,-2.99573,0,-4.73316,0.00720142,4.6,0,-0.105361,0,-4.09217,-0.128839,thai,All,#4682B4,0
6,35,-14.8697,-3.93041,2.60429,0.00775611,-4.3871,0.0053864,-2.99573,0,-4.74047,-0.000105335,4.6,0,-0.105361,0,-4.03522,-0.0718926,thai,All,#4682B4,0
7,35,-13.2563,-2.31708,2.59111,-0.00541595,-4.43389,-0.041409,-2.99573,0,-4.73593,0.00442901,4.6,0,-0.105361,0,-3.68572,0.277607,thai,All,#4682B4,0
8,35,-15.2149,-4.27561,2.57277,-0.0237629,-4.35688,0.0356016,-2.99573,0,-4.7335,0.00686189,4.6,0,-0.105361,0,-4.22326,-0.259931,thai,All,#4682B4,0
9,35,-12.9207,-1.98145,2.58418,-0.0123509,-4.43538,-0.0428972,-2.99573,0,-4.74448,-0.00412387,4.6,0,-0.105361,0,-4.58855,-0.625227,thai,All,#4682B4,0
10,35,-18.1311,-7.19179,2.58432,-0.0122109,-4.33084,0.0616407,-2.99573,0,-4.74575,-0.00538747,4.6,0,-0.105361,0,-4.4582,-0.494876,thai,All,#4682B4,0
1,36,-5.04952,5.88975,2.60891,0.0123817,-4.38076,0.0117233,-2.99573,0,-4.72708,0.0132798,4.6,0,-0.105361,0,-3.03521,0.928115,thai,All,#4682B4,0
2,36,-8.04074,2.89853,2.5954,-0.00112991,-4.37867,0.0138092,-2.99573,0,-4.73955,0.000810525,4.6,0,-0.105361,0,-3.40532,0.558005,thai,All,#4682B4,0
3,36,-6.93645,4.00282,2.59671,0.000184821,-4.44315,-0.0506711,-2.99573,0,-4.7529,-0.0125415,4.6,0,-0.105361,0,-2.88152,1.08181,thai,All,#4682B4,0
4,36,-4.27739,6.66188,2.62328,0.0267488,-4.40343,-0.0109435,-2.99573,0,-4.74401,-0.00364706,4.6,0,-0.105361,0,-3.73178,0.231545,thai,All,#4682B4,0
5,36,-4.4318,6.50746,2.61433,0.0177976,-4.41427,-0.0217849,-2.99573,0,-4.74956,-0.00919831,4.6,0,-0.105361,0,-4.17727,-0.213947,thai,All,#4682B4,0
6,36,-2.48909,8.45018,2.60971,0.0131828,-4.43803,-0.0455433,-2.99573,0,-4.73219,0.00817382,4.6,0,-0.105361,0,-3.47982,0.483509,thai,All,#4682B4,0
7,36,-6.08566,4.85361,2.60131,0.00478108,-4.37881,0.0136768,-2.99573,0,-4.74903,-0.00866879,4.6,0,-0.105361,0,-3.14709,0.816241,thai,All,#4682B4,0
8,36,-7.80795,3.13131,2.58476,-0.0117652,-4.3894,0.00307831,-2.99573,0,-4.74804,-0.00768325,4.6,0,-0.105361,0,-3.01478,0.948544,thai,All,#4682B4,0
9,36,-3.57644,7.36283,2.59349,-0.00304323,-4.40961,-0.0171281,-2.99573,0,-4.73638,0.0039831,4.6,0,-0.105361,0,-3.53849,0.424839,thai,All,#4682B4,0
10,36,-7.52313,3.41614,2.60787,0.0113428,-4.40351,-0.0110279,-2.99573,0,-4.75034,-0.00998079,4.6,0,-0.105361,0,-3.30761,0.655717,thai,All,#4682B4,0
1,37,-10.8773,0.0619702,2.61587,0.0193413,-4.39793,-0.00544265,-2.99573,0,-4.74024,0.000121372,4.6,0,-0.105361,0,-4.48832,-0.524994,thai,All,#4682B4,0
2,37,-11.9111,-0.971825,2.57294,-0.023585,-4.39125,0.0012348,-2.99573,0,-4.72856,0.0118007,4.6,0,-0.105361,0,-3.67135,0.291978,thai,All,#4682B4,0
3,37,-10.0632,0.876044,2.61642,0.0198921,-4.38193,0.0105498,-2.99573,0,-4.73162,0.00874472,4.6,0,-0.105361,0,-3.8293,0.134029,thai,All,#4682B4,0
4,37,-9.62211,1.31716,2.59868,0.00214644,-4.43138,-0.0388939,-2.99573,0,-4.7271,0.0132597,4.6,0,-0.105361,0,-4.38714,-0.42381,thai,All,#4682B4,0
5,37,-8.28971,2.64955,2.60547,0.0089456,-4.42712,-0.0346361,-2.99573,0,-4.72588,0.0144843,4.6,0,-0.105361,0,-4.19839,-0.235061,thai,All,#4682B4,0
6,37,-10.2591,0.680126,2.60501,0.0084769,-4.4423,-0.0498137,-2.99573,0,-4.753,-0.0126442,4.6,0,-0.105361,0,-4.03136,-0.0680364,thai,All,#4682B4,0
7,37,-9.94407,0.995194,2.582,-0.0145291,-4.43462,-0.042138,-2.99573,0,-4.72518,0.0151826,4.6,0,-0.105361,0,-4.12544,-0.162117,thai,All,#4682B4,0
8,37,-11.2962,-0.356953,2.58654,-0.00999291,-4.36709,0.0253895,-2.99573,0,-4.73937,0.000989562,4.6,0,-0.105361,0,-4.55892,-0.595597,thai,All,#4682B4,0
9,37,-10.8353,0.10392,2.58599,-0.0105355,-4.42526,-0.0327799,-2.99573,0,-4.74107,-0.000707289,4.6,0,-0.105361,0,-4.37009,-0.406767,thai,All,#4682B4,0
10,37,-9.75631,1.18295,2.62486,0.0283359,-4.40716,-0.0146814,-2.99573,0,-4.7377,0.00266145,4.6,0,-0.105361,0,-4.64658,-0.683256,thai,All,#4682B4,0
1,38,-10.9389,0.000410804,2.5953,-0.00122455,-4.36846,0.0240236,-2.99573,0,-4.73329,0.00707137,4.6,0,-0.105361,0,-4.13035,-0.16702,thai,All,#4682B4,0
2,38,-14.2544,-3.31513,2.60186,0.00532726,-4.33953,0.0529527,-2.99573,0,-4.75016,-0.00980262,4.6,0,-0.105361,0,-3.54175,0.421577,thai,All,#4682B4,0
3,38,-9.28028,1.65899,2.60792,0.0113884,-4.39652,-0.004037,-2.99573,0,-4.72882,0.0115455,4.6,0,-0.105361,0,-3.45673,0.506599,thai,All,#4682B4,0
4,38,-11.0965,-0.157231,2.6001,0.00357332,-4.36664,0.0258479,-2.99573,0,-4.72585,0.014511,4.6,0,-0.105361,0,-3.94549,0.0178408,thai,All,#4682B4,0
5,38,-11.8401,-0.900796,2.59575,-0.000776156,-4.35448,0.0380083,-2.99573,0,-4.73572,0.00463644,4.6,0,-0.105361,0,-3.55211,0.411218,thai,All,#4682B4,0
6,38,-12.3782,-1.43898,2.59765,0.0011256,-4.37712,0.0153667,-2.99573,0,-4.7324,0.00796146,4.6,0,-0.105361,0,-3.13051,0.832813,thai,All,#4682B4,0
7,38,-10.1422,0.797113,2.60065,0.0041204,-4.42697,-0.0344916,-2.99573,0,-4.74206,-0.00169696,4.6,0,-0.105361,0,-3.97717,-0.013846,thai,All,#4682B4,0
8,38,-9.9651,0.974169,2.59318,-0.00335044,-4.40608,-0.0135975,-2.99573,0,-4.74234,-0.0019757,4.6,0,-0.105361,0,-4.46818,-0.504855,thai,All,#4682B4,0
9,38,-10.3052,0.634025,2.59636,-0.000165612,-4.41249,-0.0200098,-2.99573,0,-4.7393,0.00106173,4.6,0,-0.105361,0,-3.79376,0.169572,thai,All,#4682B4,0
10,38,-10.8448,0.094507,2.61045,0.0139259,-4.40844,-0.015952,-2.99573,0,-4.73577,0.00459066,4.6,0,-0.105361,0,-4.15328,-0.189955,thai,All,#4682B4,0
1,39,-17.2457,-6.3064,2.57571,-0.0208182,-4.42867,-0.0361848,-2.99573,0,-4.73859,0.00176799,4.6,0,-0.105361,0,-2.59955,1.36378,thai,All,#4682B4,0
2,39,-13.4786,-2.53931,2.6063,0.00977178,-4.43179,-0.0393101,-2.99573,0,-4.73401,0.00635179,4.6,0,-0.105361,0,-2.56261,1.40071,thai,All,#4682B4,0
3,39,-18.7595,-7.82027,2.58216,-0.0143708,-4.36772,0.0247638,-2.99573,0,-4.73039,0.0099679,4.6,0,-0.105361,0,-2.57477,1.38856,thai,All,#4682B4,0
4,39,-16.4471,-5.50787,2.60241,0.00587885,-4.42909,-0.0366104,-2.99573,0,-4.75158,-0.011224,4.6,0,-0.105361,0,-2.87553,1.0878,thai,All,#4682B4,0
5,39,-11.3011,-0.361792,2.59719,0.000657445,-4.37254,0.0199439,-2.99573,0,-4.7567,-0.0163364,4.6,0,-0.105361,0,-3.01837,0.944953,thai,All,#4682B4,0
6,39,-6.03816,4.90111,2.60353,0.00699789,-4.38429,0.00819641,-2.99573,0,-4.73172,0.0086376,4.6,0,-0.105361,0,-3.72891,0.234415,thai,All,#4682B4,0
7,39,-11.0732,-0.133947,2.58606,-0.0104701,-4.41522,-0.0227319,-2.99573,0,-4.73569,0.00466563,4.6,0,-0.105361,0,-3.11852,0.844804,thai,All,#4682B4,0
8,39,-10.5016,0.437687,2.56738,-0.0291513,-4.41951,-0.0270299,-2.99573,0,-4.73748,0.0028811,4.6,0,-0.105361,0,-3.08713,0.876199,thai,All,#4682B4,0
9,39,-15.1633,-4.22404,2.59662,8.77495e-05,-4.40644,-0.0139555,-2.99573,0,-4.7511,-0.0107373,4.6,0,-0.105361,0,-2.84938,1.11395,thai,All,#4682B4,0
10,39,-11.2249,-0.28561,2.62051,0.0239841,-4.39238,9.97472e-05,-2.99573,0,-4.74348,-0.00312107,4.6,0,-0.105361,0,-2.92628,1.03705,thai,All,#4682B4,0
1,40,-12.6117,-1.67241,2.60314,0.00661169,-4.44854,-0.0560573,-2.99573,0,-4.73809,0.00226602,4.6,0,-0.105361,0,-3.88437,0.0789541,thai,All,#4682B4,0
2,40,-12.2051,-1.26587,2.60267,0.00614174,-4.39249,-9.50205e-06,-2.99573,0,-4.74907,-0.0087119,4.6,0,-0.105361,0,-3.63179,0.331539,thai,All,#4682B4,0
3,40,-13.9307,-2.99147,2.55838,-0.0381534,-4.35979,0.0326941,-2.99573,0,-4.73214,0.00822322,4.6,0,-0.105361,0,-4.00937,-0.0460432,thai,All,#4682B4,0
4,40,-14.5259,-3.58665,2.59055,-0.00598086,-4.38556,0.00692118,-2.99573,0,-4.74393,-0.003568,4.6,0,-0.105361,0,-3.40107,0.562262,thai,All,#4682B4,0
