iteration,convergenceIndicator,phase,a,aS_pop,b,dE_pop,dS_pop,initT_pop,lBt0_pop,lae_pop,lk_pop,lw_pop,omega_aS,omega_dE,omega_dS,omega_initT,omega_lBt0,omega_lae,omega_lk,omega_lw
1,1513.1,1,0.517413,14.6149,0.3,0.253976,0.0129983,-9.76068,-4.73459,1.85538,-4.54535,2.23077,0.0223304,1.69978,0.0132264,2.9771,0.00474907,0.352013,0.524321,0.565539
2,1471.86,1,0.491542,14.5393,0.285,0.179875,0.0129863,-9.35863,-4.73395,1.92014,-4.60147,2.17823,0.0222451,1.65674,0.0134251,3.11311,0.00481066,0.343099,0.526159,0.551219
3,1443.44,1,0.466965,14.4915,0.27075,0.189263,0.0129781,-9.05986,-4.73414,1.85361,-4.58602,2.21624,0.0240723,1.6148,0.0160114,3.03429,0.00478528,0.377221,0.512836,0.537262
4,1400.48,1,0.443617,14.4799,0.257212,0.14429,0.012975,-9.85591,-4.73417,1.78752,-4.62422,2.28498,0.0268646,1.57391,0.015606,2.95746,0.00466412,0.36767,0.59363,0.523658
5,1379.67,1,0.421436,14.523,0.244352,0.153332,0.0129648,-9.9029,-4.73447,1.79364,-4.61056,2.28795,0.0274651,1.53406,0.0154797,2.88257,0.00477462,0.414634,0.578598,0.564239
6,1336.12,1,0.400364,14.4332,0.232134,0.166691,0.0129553,-10.2875,-4.73553,1.76877,-4.55854,2.46273,0.0287068,1.49521,0.0160383,2.81589,0.0053236,0.419627,0.563948,0.561272
7,1308.29,1,0.380346,14.4422,0.220528,0.215579,0.0129919,-9.72845,-4.73565,1.71579,-4.56669,2.44298,0.0296762,1.51749,0.0156322,2.74459,0.005436,0.409002,0.562135,0.603434
8,1234.6,1,0.361329,14.4985,0.209501,0.148739,0.0130202,-9.10989,-4.7367,1.59771,-4.54361,2.32486,0.0289248,1.47907,0.0196457,2.67509,0.00580701,0.398646,0.547902,0.626169
9,1173.24,1,0.343262,14.5006,0.199026,0.18133,0.01301,-9.09778,-4.73682,1.60206,-4.46166,2.46013,0.0281924,1.44162,0.0191483,2.60736,0.00565998,0.388552,0.534029,0.631863
10,1148.62,1,0.326099,14.5568,0.189075,0.142072,0.0130197,-8.38724,-4.7355,1.51533,-4.41707,2.47806,0.0274786,1.40512,0.0186634,2.54134,0.00551666,0.378714,0.520507,0.668443
11,1134.06,1,0.309794,14.4941,0.179621,0.147693,0.0130358,-8.73426,-4.73581,1.34834,-4.42407,2.33726,0.0303635,1.36954,0.0194754,2.47699,0.00537698,0.369125,0.509147,0.667208
12,1094.7,1,0.294304,14.4778,0.17064,0.144713,0.0129854,-8.66603,-4.73575,1.30826,-4.36604,2.1882,0.0316965,1.33486,0.0189823,2.41427,0.00552536,0.413425,0.496255,0.792337
13,1060.55,1,0.279589,14.4978,0.162108,0.15506,0.0130479,-8.57132,-4.73538,1.3843,-4.40015,2.36304,0.0357098,1.30106,0.0196446,2.35314,0.00538546,0.402957,0.491527,0.772275
14,1047.71,1,0.26561,14.5763,0.154003,0.161963,0.0130932,-8.7261,-4.73527,1.42833,-4.4176,2.23451,0.0348056,1.26812,0.0197812,2.38871,0.00524909,0.418748,0.521166,0.789409
15,1003.93,1,0.252329,14.552,0.146302,0.167718,0.0130727,-8.71308,-4.73431,1.40227,-4.41178,2.13907,0.0339243,1.23601,0.0220729,2.32823,0.00511618,0.408145,0.511204,0.903372
16,951.988,1,0.239713,14.6176,0.138987,0.190519,0.0130696,-9.18502,-4.73365,1.3722,-4.3909,1.94353,0.0330653,1.20471,0.021514,2.32729,0.00507013,0.400225,0.512883,0.880498
17,916.213,1,0.227727,14.6218,0.132038,0.184206,0.0130849,-9.02586,-4.73345,1.40927,-4.53017,1.97546,0.0326938,1.19769,0.0209693,2.28594,0.00494175,0.390091,0.612097,0.86873
18,940.791,1,0.216341,14.6394,0.125436,0.13415,0.0131073,-8.98787,-4.73314,1.36658,-4.57137,1.9135,0.0358858,1.16737,0.0238559,2.27141,0.00493775,0.410415,0.700405,0.846734
19,850.675,1,0.205524,14.6888,0.119164,0.132934,0.0130138,-8.84714,-4.73418,1.40679,-4.59751,1.92984,0.0413942,1.13781,0.0232519,2.21389,0.00481272,0.400023,0.682671,0.825294
20,859.668,1,0.195248,14.6095,0.113206,0.141376,0.0130612,-9.13216,-4.73413,1.384,-4.58499,1.95101,0.0416203,1.109,0.0253317,2.387,0.00469086,0.472495,0.665385,0.804397
