rep,id,initT,aS,dS,tau,lBt0,lp,dI,lk,lae,lw,dE,lE50,data
1,35,-13.869034,13.247991,0.012247,0.050000,-4.733235,4.600000,0.900000,-3.950619,1.367931,1.724885,0.830238,2.000000,thai
2,35,-16.091683,13.489584,0.012557,0.050000,-4.755708,4.600000,0.900000,-4.328734,0.786972,1.773172,0.902481,2.000000,thai
3,35,-13.966619,13.422772,0.012718,0.050000,-4.734961,4.600000,0.900000,-3.795749,0.905379,1.419480,0.499214,2.000000,thai
4,35,-13.772870,13.385643,0.012090,0.050000,-4.742789,4.600000,0.900000,-3.769831,1.296472,2.229302,6.448967,2.000000,thai
5,35,-15.404518,13.503365,0.012258,0.050000,-4.733159,4.600000,0.900000,-4.092166,1.051143,1.718787,0.540451,2.000000,thai
6,35,-14.869676,13.521557,0.012437,0.050000,-4.740466,4.600000,0.900000,-4.035220,0.956919,1.965933,1.965786,2.000000,thai
7,35,-13.256350,13.344618,0.011868,0.050000,-4.735932,4.600000,0.900000,-3.685720,1.087232,1.405647,0.618672,2.000000,thai
8,35,-15.214881,13.102017,0.012818,0.050000,-4.733499,4.600000,0.900000,-4.223258,1.087922,1.308444,0.219991,2.000000,thai
9,35,-12.920717,13.252394,0.011851,0.050000,-4.744484,4.600000,0.900000,-4.588554,1.286238,1.733511,0.262071,2.000000,thai
10,35,-18.131055,13.254250,0.013156,0.050000,-4.745748,4.600000,0.900000,-4.458203,1.173720,1.641351,0.357474,2.000000,thai
1,36,-5.049515,13.584247,0.012516,0.050000,-4.727081,4.600000,0.900000,-3.035212,1.021358,2.429830,0.100643,2.000000,thai
2,36,-8.040740,13.401937,0.012542,0.050000,-4.739550,4.600000,0.900000,-3.405322,1.332981,2.256456,0.070130,2.000000,thai
3,36,-6.936450,13.419568,0.011759,0.050000,-4.752902,4.600000,0.900000,-2.881518,0.951869,1.661436,0.080059,2.000000,thai
4,36,-4.277388,13.780822,0.012235,0.050000,-4.744008,4.600000,0.900000,-3.731782,1.329491,2.496079,0.091894,2.000000,thai
5,36,-4.431805,13.658018,0.012103,0.050000,-4.749559,4.600000,0.900000,-4.177274,1.121234,2.991806,0.062813,2.000000,thai
6,36,-2.489090,13.595134,0.011819,0.050000,-4.732187,4.600000,0.900000,-3.479818,0.904766,2.433535,0.066038,2.000000,thai
7,36,-6.085657,13.481390,0.012540,0.050000,-4.749029,4.600000,0.900000,-3.147087,1.098827,2.465406,0.138915,2.000000,thai
8,36,-7.807953,13.260158,0.012408,0.050000,-4.748044,4.600000,0.900000,-3.014783,1.238448,2.499296,0.110115,2.000000,thai
9,36,-3.576437,13.376319,0.012160,0.050000,-4.736378,4.600000,0.900000,-3.538488,0.828736,2.314907,0.064735,2.000000,thai
10,36,-7.523125,13.570142,0.012234,0.050000,-4.750341,4.600000,0.900000,-3.307610,1.448069,2.726761,0.086146,2.000000,thai
1,37,-10.877296,13.679118,0.012303,0.050000,-4.740239,4.600000,0.900000,-4.488322,1.094946,2.044241,0.445169,2.000000,thai
2,37,-11.911091,13.104349,0.012385,0.050000,-4.728560,4.600000,0.900000,-3.671349,1.069068,1.667885,1.410034,2.000000,thai
3,37,-10.063222,13.686655,0.012501,0.050000,-4.731616,4.600000,0.900000,-3.829298,1.133798,0.882147,0.204298,2.000000,thai
