rep,id,eta_initT,eta_aS,eta_dS,eta_tau,eta_lBt0,eta_lp,eta_dI,eta_lk,eta_lae,eta_lw,eta_dE,eta_lE50,data
1,35,-2.929768,-0.012683,-0.010014,0.000000,0.007126,0.000000,0.000000,0.012708,0.336417,0.091595,1.583858,0.000000,thai
2,35,-5.152417,0.005389,0.014982,0.000000,-0.015348,0.000000,0.000000,-0.365407,-0.244543,0.139883,1.667293,0.000000,thai
3,35,-3.027353,0.000424,0.027755,0.000000,0.005400,0.000000,0.000000,0.167578,-0.126136,-0.213809,1.075179,0.000000,thai
4,35,-2.833604,-0.002346,-0.022901,0.000000,-0.002429,0.000000,0.000000,0.193496,0.264958,0.596013,3.633820,0.000000,thai
5,35,-4.465252,0.006410,-0.009128,0.000000,0.007201,0.000000,0.000000,-0.128839,0.019628,0.085498,1.154549,0.000000,thai
6,35,-3.930410,0.007756,0.005386,0.000000,-0.000105,0.000000,0.000000,-0.071893,-0.074595,0.332644,2.445793,0.000000,thai
7,35,-2.317084,-0.005416,-0.041409,0.000000,0.004429,0.000000,0.000000,0.277607,0.055718,-0.227642,1.289720,0.000000,thai
8,35,-4.275615,-0.023763,0.035602,0.000000,0.006862,0.000000,0.000000,-0.259931,0.056407,-0.324846,0.255731,0.000000,thai
9,35,-1.981451,-0.012351,-0.042897,0.000000,-0.004124,0.000000,0.000000,-0.625227,0.254723,0.100222,0.430762,0.000000,thai
10,35,-7.191789,-0.012211,0.061641,0.000000,-0.005387,0.000000,0.000000,-0.494876,0.142205,0.008062,0.741208,0.000000,thai
1,36,5.889751,0.012382,0.011723,0.000000,0.013280,0.000000,0.000000,0.928115,-0.010157,0.796541,-0.526278,0.000000,thai
2,36,2.898526,-0.001130,0.013809,0.000000,0.000811,0.000000,0.000000,0.558005,0.301466,0.623167,-0.887501,0.000000,thai
3,36,4.002816,0.000185,-0.050671,0.000000,-0.012542,0.000000,0.000000,1.081809,-0.079646,0.028147,-0.755093,0.000000,thai
4,36,6.661878,0.026749,-0.010944,0.000000,-0.003647,0.000000,0.000000,0.231545,0.297977,0.862790,-0.617219,0.000000,thai
5,36,6.507461,0.017798,-0.021785,0.000000,-0.009198,0.000000,0.000000,-0.213947,0.089719,1.358517,-0.997687,0.000000,thai
6,36,8.450176,0.013183,-0.045543,0.000000,0.008174,0.000000,0.000000,0.483509,-0.126749,0.800246,-0.947630,0.000000,thai
7,36,4.853609,0.004781,0.013677,0.000000,-0.008669,0.000000,0.000000,0.816241,0.067313,0.832117,-0.203994,0.000000,thai
8,36,3.131313,-0.011765,0.003078,0.000000,-0.007683,0.000000,0.000000,0.948544,0.206933,0.866006,-0.436326,0.000000,thai
9,36,7.362829,-0.003043,-0.017128,0.000000,0.003983,0.000000,0.000000,0.424839,-0.202778,0.681618,-0.967555,0.000000,thai
10,36,3.416141,0.011343,-0.011028,0.000000,-0.009981,0.000000,0.000000,0.655717,0.416554,1.093472,-0.681815,0.000000,thai
1,37,0.061970,0.019341,-0.005443,0.000000,0.000121,0.000000,0.000000,-0.524994,0.063432,0.410952,0.960600,0.000000,thai
2,37,-0.971825,-0.023585,0.001235,0.000000,0.011801,0.000000,0.000000,0.291978,0.037553,0.034596,2.113514,0.000000,thai
3,37,0.876044,0.019892,0.010550,0.000000,0.008745,0.000000,0.000000,0.134029,0.102284,-0.751142,0.181723,0.000000,thai
4,37,1.317157,0.002146,-0.038894,0.000000,0.013260,0.000000,0.000000,-0.423810,0.050840,0.451867,1.607603,0.000000,thai
5,37,2.649552,0.008946,-0.034636,0.000000,0.014484,0.000000,0.000000,-0.235061,0.035739,0.288018,1.557365,0.000000,thai
6,37,0.680126,0.008477,-0.049814,0.000000,-0.012644,0.000000,0.000000,-0.068036,0.186358,-0.104849,1.015378,0.000000,thai
7,37,0.995194,-0.014529,-0.042138,0.000000,0.015183,0.000000,0.000000,-0.162117,0.133910,-0.010205,1.109287,0.000000,thai
8,37,-0.356953,-0.009993,0.025390,0.000000,0.000990,0.000000,0.000000,-0.595597,-0.102636,0.671741,1.502613,0.000000,thai
9,37,0.103920,-0.010536,-0.032780,0.000000,-0.000707,0.000000,0.000000,-0.406767,0.291715,0.047542,0.561056,0.000000,thai
10,37,1.182953,0.028336,-0.014681,0.000000,0.002661,0.000000,0.000000,-0.683256,-0.036281,0.821530,2.141949,0.000000,thai
1,38,0.000411,-0.001225,0.024024,0.000000,0.007071,0.000000,0.000000,-0.167020,-0.121446,0.223599,-0.835616,0.000000,thai
2,38,-3.315130,0.005327,0.052953,0.000000,-0.009803,0.000000,0.000000,0.421577,-0.127628,-0.515211,-0.816613,0.000000,thai
3,38,1.658989,0.011388,-0.004037,0.000000,0.011545,0.000000,0.000000,0.506599,-0.035711,-0.653348,-0.545165,0.000000,thai
4,38,-0.157231,0.003573,0.025848,0.000000,0.014511,0.000000,0.000000,0.017841,0.124610,-0.454626,-0.678925,0.000000,thai
5,38,-0.900796,-0.000776,0.038008,0.000000,0.004636,0.000000,0.000000,0.411218,-0.004589,-0.563037,-0.377155,0.000000,thai
6,38,-1.438980,0.001126,0.015367,0.000000,0.007961,0.000000,0.000000,0.832813,0.082608,-0.956614,-0.770711,0.000000,thai
7,38,0.797113,0.004120,-0.034492,0.000000,-0.001697,0.000000,0.000000,-0.013846,-0.017747,-0.565379,0.118285,0.000000,thai
8,38,0.974169,-0.003350,-0.013598,0.000000,-0.001976,0.000000,0.000000,-0.504855,0.001890,0.130385,-0.856490,0.000000,thai
9,38,0.634025,-0.000166,-0.020010,0.000000,0.001062,0.000000,0.000000,0.169572,0.064669,-0.393971,-0.608354,0.000000,thai
10,38,0.094507,0.013926,-0.015952,0.000000,0.004591,0.000000,0.000000,-0.189955,-0.079939,-0.551914,0.258034,0.000000,thai
1,39,-6.306398,-0.020818,-0.036185,0.000000,0.001768,0.000000,0.000000,1.363777,0.063354,-1.046713,-0.848926,0.000000,thai
2,39,-2.539305,0.009772,-0.039310,0.000000,0.006352,0.000000,0.000000,1.400712,-0.061280,-0.930823,-1.132884,0.000000,thai
3,39,-7.820265,-0.014371,0.024764,0.000000,0.009968,0.000000,0.000000,1.388560,-0.083894,-1.447231,-1.010508,0.000000,thai
4,39,-5.507874,0.005879,-0.036610,0.000000,-0.011224,0.000000,0.000000,1.087798,0.228295,-0.849123,-1.082437,0.000000,thai
5,39,-0.361792,0.000657,0.019944,0.000000,-0.016336,0.000000,0.000000,0.944953,0.227214,-0.218770,-0.420993,0.000000,thai
6,39,4.901108,0.006998,0.008196,0.000000,0.008638,0.000000,0.000000,0.234415,-0.049549,-0.875033,-0.228206,0.000000,thai
