parameter,value,se_lin,rse_lin
initT_pop,0,,
aS_pop,0.01,,
r_pop,0.340898643170815,0.0490369976142823,14.3846268081834
K_pop,137.586130939293,16.6712071016708,12.1169241317111
tau_pop,0.05,,
Bt0_pop,0.0001,,
pP_pop,50000,,
pU_pop,50000,,
g_pop,23,,
dI_pop,0.8,,
k_pop,0.01,,
aE_pop,1e-05,,
w_pop,1,,
dE_pop,0.02,,
E50_pop,10,,
omega_initT,6.48465838877579,0.765174853822282,11.7997712130328
omega_aS,4.62876883400921,3.53135403514825,76.2914321666301
omega_r,0.547781785310777,0.162778878760273,29.7160079296762
omega_K,0.420302748732211,0.191697906030416,45.6094818814885
omega_tau,1,,
omega_pP,0.317508504165919,0.430370304667296,135.546071686445
omega_pU,1,,
omega_w,1,,
omega_dE,1,,
omega_E50,1,,
a,0.560673357525828,0.0231116333668348,4.12212084926296
