rep,id_var,eta_initT_simulated,eta_aS_simulated,eta_dS_simulated,eta_lBt0_simulated,eta_lk_simulated,eta_lae_simulated,eta_lw_simulated,eta_dE_simulated,split,color,filter
1,35,-5.40772,0.0181847,-0.0166572,0,-0.0190397,0,0,0.543684,All,#4682B4,0
2,35,-1.79296,0.0149033,-0.0183202,0,0.0116922,0,0,0.262018,All,#4682B4,0
3,35,-4.30306,-0.0477953,-0.0135597,0,0.000561906,0,0,-0.449226,All,#4682B4,0
4,35,-4.49996,0.000434627,0.0266727,0,0.00789697,0,0,-0.0757564,All,#4682B4,0
5,35,-0.751175,0.00355001,-0.0607253,0,0.00533918,0,0,0.306336,All,#4682B4,0
6,35,-2.77442,0.0336537,-0.0446299,0,0.00184118,0,0,0.951459,All,#4682B4,0
7,35,-3.46869,-0.0278183,-0.00264479,0,0.0104703,0,0,0.250301,All,#4682B4,0
8,35,-6.63175,-0.0027737,0.0410143,0,-0.00570704,0,0,0.467908,All,#4682B4,0
9,35,-4.19826,-0.0112532,-0.0205005,0,0.00527622,0,0,0.1854,All,#4682B4,0
10,35,-3.89479,0.0177688,-0.00697035,0,0.000206298,0,0,-0.89121,All,#4682B4,0
1,36,4.54938,0.00926699,-0.0105285,0,-0.00082842,0,0,0.574342,All,#4682B4,0
2,36,5.1798,0.000574264,0.00583288,0,0.00970994,0,0,0.72354,All,#4682B4,0
3,36,4.33664,0.00321607,-0.0126511,0,-0.00933961,0,0,0.859926,All,#4682B4,0
4,36,5.15007,-0.00281514,-0.00445965,0,-0.00744365,0,0,1.24399,All,#4682B4,0
5,36,4.427,-0.0160696,0.0351707,0,-0.00362027,0,0,0.369816,All,#4682B4,0
6,36,4.75983,0.014561,0.0373644,0,-0.00905021,0,0,0.551894,All,#4682B4,0
7,36,5.98615,0.00337872,0.00254138,0,0.0173114,0,0,-0.273805,All,#4682B4,0
8,36,2.0477,-0.0673752,0.0304974,0,0.00135672,0,0,0.454041,All,#4682B4,0
9,36,4.30106,0.000318202,0.0230495,0,-0.0147402,0,0,0.87406,All,#4682B4,0
10,36,5.81948,0.0253175,-0.0324979,0,-0.0127119,0,0,-0.0133123,All,#4682B4,0
1,37,-2.16568,-0.0175863,0.00954468,0,0.00278623,0,0,-0.228931,All,#4682B4,0
2,37,-2.56144,0.00102266,0.0129666,0,-0.00515591,0,0,0.101421,All,#4682B4,0
3,37,-2.81349,-0.000153076,0.00271366,0,-0.00794164,0,0,0.455723,All,#4682B4,0
4,37,-3.03014,-0.0135997,-0.0101938,0,-0.0158763,0,0,0.178633,All,#4682B4,0
5,37,-3.00158,0.00587114,0.0149825,0,0.000627357,0,0,-0.344412,All,#4682B4,0
6,37,0.0364472,-0.00179558,-0.00854746,0,0.00334022,0,0,-0.279106,All,#4682B4,0
7,37,-0.760148,0.0156602,-0.0537321,0,-0.0018117,0,0,-1.09251,All,#4682B4,0
8,37,-2.87023,-0.0327253,0.0119472,0,0.00873351,0,0,0.1212,All,#4682B4,0
9,37,-3.96322,-0.00141621,0.0500826,0,0.0162611,0,0,0.707405,All,#4682B4,0
10,37,0.687895,-0.0189985,-0.0636036,0,0.0142618,0,0,-0.279257,All,#4682B4,0
1,38,-0.333807,0.00187518,-0.0211192,0,0.00568533,0,0,-0.092165,All,#4682B4,0
2,38,-2.36736,-0.0112539,0.00682083,0,0.00243736,0,0,0.702027,All,#4682B4,0
3,38,0.663717,-0.0203493,-0.0452905,0,0.0122746,0,0,-0.248745,All,#4682B4,0
4,38,-0.101707,0.0419518,0.0396008,0,0.000928159,0,0,0.274452,All,#4682B4,0
5,38,0.976209,0.0174297,-0.0150297,0,-0.00197173,0,0,-0.946898,All,#4682B4,0
6,38,-0.466118,0.0185951,-0.0127533,0,-0.00595078,0,0,0.171933,All,#4682B4,0
7,38,-0.633141,-0.0104194,0.0109807,0,0.0106718,0,0,0.0296641,All,#4682B4,0
8,38,-4.72588,-0.0175955,0.0458476,0,-0.0134709,0,0,0.240249,All,#4682B4,0
9,38,-0.0448662,0.0122559,-0.00595288,0,0.00312329,0,0,0.265676,All,#4682B4,0
10,38,1.61915,0.02395,-0.0208049,0,0.00671728,0,0,0.903763,All,#4682B4,0
1,39,3.87695,0.010625,0.00042984,0,-0.00608599,0,0,-0.286922,All,#4682B4,0
2,39,1.90615,0.0340947,0.0611479,0,-0.0199735,0,0,-0.118752,All,#4682B4,0
3,39,1.97728,-0.0188848,0.0161879,0,-0.00315774,0,0,-0.110264,All,#4682B4,0
4,39,1.36017,-0.0178254,0.124543,0,0.00149821,0,0,-0.394845,All,#4682B4,0
5,39,3.59475,0.010042,0.0384848,0,-0.000872609,0,0,0.254667,All,#4682B4,0
6,39,2.11808,0.0125156,0.0290449,0,-0.00779038,0,0,0.789504,All,#4682B4,0
7,39,1.16055,-0.0271846,0.0011912,0,-0.00706275,0,0,0.219292,All,#4682B4,0
8,39,3.86166,-0.0120677,0.0181051,0,0.00585398,0,0,-0.0161346,All,#4682B4,0
9,39,-2.05619,-0.0386525,0.0783119,0,-0.00887584,0,0,0.300854,All,#4682B4,0
10,39,3.14334,-1.58203e-05,-0.0236245,0,-0.0171555,0,0,0.156724,All,#4682B4,0
1,40,-4.62798,0.00963172,0.0225234,0,-0.0038533,0,0,0.00171494,All,#4682B4,0
2,40,-2.75725,0.0201837,0.0270245,0,-0.00643946,0,0,0.270574,All,#4682B4,0
3,40,1.11983,0.00463898,-0.0264593,0,0.0225226,0,0,0.460901,All,#4682B4,0
4,40,-0.924558,-0.00272943,-0.0449529,0,0.0113677,0,0,-0.659499,All,#4682B4,0
5,40,-2.14384,-0.0136125,-0.0424055,0,-0.000332711,0,0,-0.359971,All,#4682B4,0
6,40,-4.65955,-0.0322267,0.00300833,0,-0.00505564,0,0,-0.633415,All,#4682B4,0
7,40,-3.38015,-0.00965456,-0.0475206,0,0.000880084,0,0,-0.757547,All,#4682B4,0
8,40,-1.45027,0.00987722,0.00277822,0,0.0025696,0,0,-0.00188378,All,#4682B4,0
9,40,-2.64552,-0.00670626,0.0161378,0,-0.000377524,0,0,0.0502877,All,#4682B4,0
10,40,-2.39019,0.0235663,0.00341225,0,-0.00357058,0,0,0.512359,All,#4682B4,0
1,41,-0.717444,-0.0268979,0.0300243,0,0.00174738,0,0,0.445667,All,#4682B4,0
2,41,2.38792,0.027712,-0.0112442,0,-0.00215585,0,0,0.0716111,All,#4682B4,0
3,41,2.79321,-0.0206763,-0.0773652,0,0.00640079,0,0,-0.186537,All,#4682B4,0
4,41,4.66781,0.0248845,-0.0313696,0,0.0151087,0,0,-0.146425,All,#4682B4,0
5,41,2.76167,0.0452257,-0.0242337,0,0.00529078,0,0,-0.774438,All,#4682B4,0
6,41,0.567825,-0.0118063,0.0467808,0,-0.0134888,0,0,-0.570991,All,#4682B4,0
7,41,2.36238,-0.0195294,-0.0361446,0,-0.00266442,0,0,0.19186,All,#4682B4,0
8,41,1.19786,-0.0211383,0.011008,0,0.00779865,0,0,-0.471567,All,#4682B4,0
9,41,0.91677,0.00694296,0.000814286,0,-0.0168936,0,0,0.260004,All,#4682B4,0
10,41,-0.510925,0.0272611,0.035698,0,-0.0139448,0,0,-0.719047,All,#4682B4,0
1,42,0.510888,0.019352,-0.021155,0,-0.0109576,0,0,-0.893271,All,#4682B4,0
2,42,1.53255,0.0145723,0.00401768,0,0.00153969,0,0,0.0340148,All,#4682B4,0
3,42,1.59784,0.00639558,-0.0138815,0,0.00564541,0,0,-0.324829,All,#4682B4,0
4,42,0.395834,-0.0217797,-0.0200236,0,-0.00652784,0,0,0.384656,All,#4682B4,0
5,42,0.0441767,-0.0389362,-0.0068598,0,-0.00362666,0,0,1.03411,All,#4682B4,0
6,42,0.230186,-0.00996343,0.00178384,0,-0.00235696,0,0,0.328239,All,#4682B4,0
7,42,2.26494,0.00318949,-0.0457249,0,0.0015742,0,0,-0.200099,All,#4682B4,0
8,42,0.218845,-0.012778,0.000898001,0,-0.000411262,0,0,0.0393818,All,#4682B4,0
9,42,2.47261,0.01171,-0.048077,0,0.00633565,0,0,-0.472242,All,#4682B4,0
10,42,2.49498,0.0247382,0.050013,0,0.00864045,0,0,-0.498014,All,#4682B4,0
1,43,1.79087,-0.00669183,-0.0178998,0,-0.0030951,0,0,-0.153724,All,#4682B4,0
2,43,3.08536,0.0190653,-0.0248838,0,0.00729384,0,0,0.0448758,All,#4682B4,0
3,43,3.48934,0.0123029,-0.0569084,0,-0.00219326,0,0,0.774307,All,#4682B4,0
4,43,2.29316,-0.00373248,-0.0290455,0,-0.0069327,0,0,0.356571,All,#4682B4,0
5,43,1.5145,-0.00381425,-0.0314273,0,0.00392135,0,0,-0.0365223,All,#4682B4,0
6,43,2.11113,0.0163776,-0.0212064,0,-0.0046282,0,0,0.330543,All,#4682B4,0
7,43,-1.23866,-0.0267244,0.0398408,0,-0.000827291,0,0,-0.628111,All,#4682B4,0
8,43,-3.19129,0.0108362,0.0666918,0,-0.0114263,0,0,-0.34789,All,#4682B4,0
9,43,-1.30069,-0.0213109,0.0225631,0,-0.0090547,0,0,-1.11538,All,#4682B4,0
10,43,3.12191,0.0171715,0.0036975,0,0.00015116,0,0,-0.534267,All,#4682B4,0
1,44,-3.05571,-0.00728257,-0.000102581,0,-0.00684996,0,0,0.143394,All,#4682B4,0
2,44,-3.14021,-0.0272749,0.0169605,0,0.010174,0,0,0.309068,All,#4682B4,0
3,44,-1.6524,0.0106263,0.00953465,0,-0.00105264,0,0,-0.151682,All,#4682B4,0
4,44,-1.85465,-0.00893975,5.38711e-05,0,0.0114802,0,0,0.343897,All,#4682B4,0
5,44,-3.5444,0.0317148,-0.0261302,0,-0.00966661,0,0,0.0794298,All,#4682B4,0
6,44,-4.32779,0.0286513,0.0230376,0,-0.00253078,0,0,-0.362204,All,#4682B4,0
7,44,-3.37417,0.00179408,0.0060194,0,0.000662274,0,0,0.575761,All,#4682B4,0
8,44,-1.58121,-0.00255978,-0.071564,0,0.00857173,0,0,-0.304597,All,#4682B4,0
9,44,-1.72708,0.0109762,0.0130495,0,-0.00340849,0,0,0.33509,All,#4682B4,0
10,44,-4.10562,0.00950247,0.030554,0,0.00429806,0,0,0.10482,All,#4682B4,0
1,45,3.68774,0.0136309,0.0310254,0,0.00385024,0,0,0.353189,All,#4682B4,0
2,45,1.90136,0.0132328,0.0762482,0,0.00169895,0,0,0.53031,All,#4682B4,0
