aS_vs_dE_abscissa,aS_vs_dE_spline,aS_vs_dE_regression,aS_vs_dS_abscissa,aS_vs_dS_spline,aS_vs_dS_regression,aS_vs_initT_abscissa,aS_vs_initT_spline,aS_vs_initT_regression,aS_vs_lBt0_abscissa,aS_vs_lBt0_spline,aS_vs_lBt0_regression,aS_vs_lae_abscissa,aS_vs_lae_spline,aS_vs_lae_regression,aS_vs_lk_abscissa,aS_vs_lk_spline,aS_vs_lk_regression,aS_vs_lw_abscissa,aS_vs_lw_spline,aS_vs_lw_regression,dE_vs_aS_abscissa,dE_vs_aS_spline,dE_vs_aS_regression,dE_vs_dS_abscissa,dE_vs_dS_spline,dE_vs_dS_regression,dE_vs_initT_abscissa,dE_vs_initT_spline,dE_vs_initT_regression,dE_vs_lBt0_abscissa,dE_vs_lBt0_spline,dE_vs_lBt0_regression,dE_vs_lae_abscissa,dE_vs_lae_spline,dE_vs_lae_regression,dE_vs_lk_abscissa,dE_vs_lk_spline,dE_vs_lk_regression,dE_vs_lw_abscissa,dE_vs_lw_spline,dE_vs_lw_regression,dS_vs_aS_abscissa,dS_vs_aS_spline,dS_vs_aS_regression,dS_vs_dE_abscissa,dS_vs_dE_spline,dS_vs_dE_regression,dS_vs_initT_abscissa,dS_vs_initT_spline,dS_vs_initT_regression,dS_vs_lBt0_abscissa,dS_vs_lBt0_spline,dS_vs_lBt0_regression,dS_vs_lae_abscissa,dS_vs_lae_spline,dS_vs_lae_regression,dS_vs_lk_abscissa,dS_vs_lk_spline,dS_vs_lk_regression,dS_vs_lw_abscissa,dS_vs_lw_spline,dS_vs_lw_regression,initT_vs_aS_abscissa,initT_vs_aS_spline,initT_vs_aS_regression,initT_vs_dE_abscissa,initT_vs_dE_spline,initT_vs_dE_regression,initT_vs_dS_abscissa,initT_vs_dS_spline,initT_vs_dS_regression,initT_vs_lBt0_abscissa,initT_vs_lBt0_spline,initT_vs_lBt0_regression,initT_vs_lae_abscissa,initT_vs_lae_spline,initT_vs_lae_regression,initT_vs_lk_abscissa,initT_vs_lk_spline,initT_vs_lk_regression,initT_vs_lw_abscissa,initT_vs_lw_spline,initT_vs_lw_regression,lBt0_vs_aS_abscissa,lBt0_vs_aS_spline,lBt0_vs_aS_regression,lBt0_vs_dE_abscissa,lBt0_vs_dE_spline,lBt0_vs_dE_regression,lBt0_vs_dS_abscissa,lBt0_vs_dS_spline,lBt0_vs_dS_regression,lBt0_vs_initT_abscissa,lBt0_vs_initT_spline,lBt0_vs_initT_regression,lBt0_vs_lae_abscissa,lBt0_vs_lae_spline,lBt0_vs_lae_regression,lBt0_vs_lk_abscissa,lBt0_vs_lk_spline,lBt0_vs_lk_regression,lBt0_vs_lw_abscissa,lBt0_vs_lw_spline,lBt0_vs_lw_regression,lae_vs_aS_abscissa,lae_vs_aS_spline,lae_vs_aS_regression,lae_vs_dE_abscissa,lae_vs_dE_spline,lae_vs_dE_regression,lae_vs_dS_abscissa,lae_vs_dS_spline,lae_vs_dS_regression,lae_vs_initT_abscissa,lae_vs_initT_spline,lae_vs_initT_regression,lae_vs_lBt0_abscissa,lae_vs_lBt0_spline,lae_vs_lBt0_regression,lae_vs_lk_abscissa,lae_vs_lk_spline,lae_vs_lk_regression,lae_vs_lw_abscissa,lae_vs_lw_spline,lae_vs_lw_regression,lk_vs_aS_abscissa,lk_vs_aS_spline,lk_vs_aS_regression,lk_vs_dE_abscissa,lk_vs_dE_spline,lk_vs_dE_regression,lk_vs_dS_abscissa,lk_vs_dS_spline,lk_vs_dS_regression,lk_vs_initT_abscissa,lk_vs_initT_spline,lk_vs_initT_regression,lk_vs_lBt0_abscissa,lk_vs_lBt0_spline,lk_vs_lBt0_regression,lk_vs_lae_abscissa,lk_vs_lae_spline,lk_vs_lae_regression,lk_vs_lw_abscissa,lk_vs_lw_spline,lk_vs_lw_regression,lw_vs_aS_abscissa,lw_vs_aS_spline,lw_vs_aS_regression,lw_vs_dE_abscissa,lw_vs_dE_spline,lw_vs_dE_regression,lw_vs_dS_abscissa,lw_vs_dS_spline,lw_vs_dS_regression,lw_vs_initT_abscissa,lw_vs_initT_spline,lw_vs_initT_regression,lw_vs_lBt0_abscissa,lw_vs_lBt0_spline,lw_vs_lBt0_regression,lw_vs_lae_abscissa,lw_vs_lae_spline,lw_vs_lae_regression,lw_vs_lk_abscissa,lw_vs_lk_spline,lw_vs_lk_regression
-1.98141,-0.0071053,-0.00292035,-0.108657,0.0186974,0.00203652,-11.2695,0.0206046,0.001251,-0.0221611,-0.00708466,0.00433846,-0.939443,0.00791653,0.00142124,-1.35995,0.0196138,0.00433736,-2.68893,0.0131347,0.00475261,-0.0673752,-0.705135,-0.377115,-0.108657,1.25194,0.772256,-11.2695,0.598333,0.64075,-0.0221611,-0.850972,-0.452855,-0.939443,-0.206394,0.381672,-1.35995,0.170855,0.664828,-2.68893,-0.770586,0.889708,-0.0673752,0.0195673,0.00385572,-1.98141,0.0160808,0.013123,-11.2695,-0.0297444,8.9897e-05,-0.0221611,0.0154086,-0.00594961,-0.939443,-0.00421708,-0.00159924,-1.35995,0.031004,-0.00721788,-2.68893,0.00975851,-0.0249415,-0.0673752,1.11933,0.115661,-1.98141,-2.20655,0.757934,-0.108657,2.29131,-0.0350075,-0.0221611,0.0607993,-0.835831,-0.939443,-0.395956,-0.717855,-1.35995,-0.451944,-1.44477,-2.68893,-1.09688,-2.7585,-0.0673752,0.0027696,0.00318131,-1.98141,-0.0120874,-0.00191384,-0.108657,-0.00478736,-0.00119878,-11.2695,-0.00972406,-0.00261051,-0.939443,0.0023417,0.000646145,-1.35995,0.00652179,0.00537429,-2.68893,0.00153957,0.00160107,-0.0673752,0.105545,0.035946,-1.98141,0.443421,0.0687591,-0.108657,0.315611,0.000210658,-11.2695,0.208902,-0.0655435,-0.0221611,0.0872062,0.0168736,-1.35995,0.174279,-0.041093,-2.68893,-0.0106908,-0.0193959,-0.0673752,0.349448,0.11977,-1.98141,0.0105893,0.153581,-0.108657,0.287641,-0.115287,-11.2695,-0.316803,-0.286619,-0.0221611,0.423056,0.228259,-0.939443,-0.0133283,-0.102496,-2.68893,0.698511,0.0953776,-0.0673752,0.385325,0.158275,-1.98141,0.653044,0.262627,-0.108657,-0.716585,-0.519453,-11.2695,-0.826212,-0.749566,-0.0221611,0.827699,0.0359634,-0.939443,-0.0136774,-0.108356,-1.35995,0.999609,0.107838
-1.92048,-0.00164798,-0.00282665,-0.106301,0.0164068,0.00199519,-11.0551,0.0177166,0.00122965,-0.0216996,-0.00337237,0.00425272,-0.920572,0.00774453,0.00139573,-1.33235,0.0172748,0.00425114,-2.63364,0.0124408,0.00465625,-0.0661916,-0.655691,-0.370399,-0.106301,1.14021,0.755594,-11.0551,0.484384,0.6286,-0.0216996,-0.716816,-0.443496,-0.920572,-0.0712158,0.374214,-1.33235,0.277232,0.651307,-2.63364,-0.704421,0.871262,-0.0661916,0.0181396,0.00378242,-1.92048,0.018039,0.0127107,-11.0551,-0.0267742,8.19486e-05,-0.0216996,0.016015,-0.00583487,-0.920572,-0.00430533,-0.00157396,-1.33235,0.0248675,-0.00707644,-2.63364,0.00781392,-0.0244278,-0.0661916,0.866292,0.112481,-1.92048,-1.3211,0.73268,-0.106301,1.91008,-0.0356751,-0.0216996,0.080469,-0.82012,-0.920572,-0.5996,-0.704911,-1.33235,-0.703353,-1.41647,-2.63364,-1.04077,-2.7023,-0.0661916,0.00326932,0.00313356,-1.92048,-0.00545027,-0.00184112,-0.106301,-0.00432211,-0.00116275,-11.0551,-0.007652,-0.00255178,-0.920572,0.00228772,0.000642411,-1.33235,0.00639673,0.00527341,-2.63364,0.00130344,0.00157721,-0.0661916,0.114115,0.0355141,-1.92048,0.244714,0.0669977,-0.106301,0.232928,0.000451986,-11.0551,0.120701,-0.0640726,-0.0216996,0.0587814,0.0167601,-1.33235,0.141778,-0.0400176,-2.63364,-0.00466036,-0.018755,-0.0661916,0.321917,0.117409,-1.92048,0.285025,0.148416,-0.106301,0.206046,-0.113103,-11.0551,-0.386125,-0.281418,-0.0216996,0.315415,0.223299,-0.920572,0.0358433,-0.100757,-2.63364,0.667507,0.0930766,-0.0661916,0.36282,0.154805,-1.92048,-0.0527285,0.253359,-0.106301,-0.605,-0.509021,-11.0551,-0.770208,-0.735979,-0.0216996,0.61252,0.0344205,-0.920572,0.000732964,-0.106992,-1.33235,0.884325,0.104811
-1.85954,-0.000818747,-0.00273295,-0.103946,0.0141163,0.00195386,-10.8407,0.0148287,0.00120831,-0.0212382,-0.000152425,0.00416698,-0.901701,0.00757252,0.00137021,-1.30474,0.0149359,0.00416492,-2.57835,0.0117469,0.00455989,-0.065008,-0.606246,-0.363684,-0.103946,1.02849,0.738931,-10.8407,0.370435,0.61645,-0.0212382,-0.60474,-0.434136,-0.901701,0.0639621,0.366756,-1.30474,0.383609,0.637786,-2.57835,-0.638257,0.852817,-0.065008,0.016712,0.00370911,-1.85954,0.0188523,0.0122983,-10.8407,-0.0238039,7.40003e-05,-0.0212382,0.0159634,-0.00572014,-0.901701,-0.00439358,-0.00154867,-1.30474,0.018731,-0.006935,-2.57835,0.00586933,-0.023914,-0.065008,0.613257,0.109301,-1.85954,-0.282219,0.707426,-0.103946,1.52885,-0.0363427,-0.0212382,0.0720969,-0.804409,-0.901701,-0.803243,-0.691967,-1.30474,-0.954763,-1.38817,-2.57835,-0.98467,-2.6461,-0.065008,0.00376904,0.00308582,-1.85954,-0.00223219,-0.00176839,-0.103946,-0.00385687,-0.00112673,-10.8407,-0.00557993,-0.00249305,-0.901701,0.00223374,0.000638677,-1.30474,0.00627167,0.00517252,-2.57835,0.00106731,0.00155336,-0.065008,0.122684,0.0350821,-1.85954,0.171223,0.0652362,-0.103946,0.150245,0.000693315,-10.8407,0.0324996,-0.0626016,-0.0212382,0.0380038,0.0166466,-1.30474,0.109277,-0.0389423,-2.57835,0.00137004,-0.0181142,-0.065008,0.294385,0.115049,-1.85954,0.388615,0.143251,-0.103946,0.124451,-0.11092,-10.8407,-0.455447,-0.276217,-0.0212382,0.22875,0.218339,-0.901701,0.0850149,-0.0990176,-2.57835,0.636503,0.0907755,-0.065008,0.340316,0.151334,-1.85954,-0.216788,0.24409,-0.103946,-0.493414,-0.498588,-10.8407,-0.714205,-0.722392,-0.0212382,0.439071,0.0328777,-0.901701,0.0151433,-0.105629,-1.30474,0.76904,0.101784
-1.79861,-0.00270282,-0.00263924,-0.10159,0.0118257,0.00191253,-10.6262,0.0125589,0.00118696,-0.0207768,0.0029036,0.00408125,-0.88283,0.00727455,0.0013447,-1.27714,0.0125969,0.00407869,-2.52306,0.0110529,0.00446353,-0.0638244,-0.556801,-0.356968,-0.10159,0.916772,0.722268,-10.6262,0.287895,0.6043,-0.0207768,-0.499542,-0.424776,-0.88283,0.163638,0.359299,-1.27714,0.489986,0.624265,-2.52306,-0.572092,0.834372,-0.0638244,0.0152843,0.00363581,-1.79861,0.0181639,0.011886,-10.6262,-0.0211981,6.60519e-05,-0.0207768,0.0157215,-0.0056054,-0.88283,-0.00426933,-0.00152339,-1.27714,0.0125946,-0.00679355,-2.52306,0.00392474,-0.0234002,-0.0638244,0.360222,0.106121,-1.79861,0.624311,0.682173,-0.10159,1.14763,-0.0370103,-0.0207768,0.0559709,-0.788698,-0.88283,-0.978592,-0.679023,-1.27714,-1.20617,-1.35987,-2.52306,-0.928565,-2.5899,-0.0638244,0.00426876,0.00303807,-1.79861,-0.00147821,-0.00169567,-0.10159,-0.00339162,-0.0010907,-10.6262,-0.00391221,-0.00243432,-0.88283,0.00218654,0.000634943,-1.27714,0.00614661,0.00507163,-2.52306,0.000831176,0.0015295,-0.0638244,0.131253,0.0346502,-1.79861,0.169023,0.0634747,-0.10159,0.0675615,0.000934643,-10.6262,-0.0345134,-0.0611307,-0.0207768,0.0194621,0.016533,-1.27714,0.0767763,-0.0378669,-2.52306,0.00740045,-0.0174733,-0.0638244,0.266854,0.112688,-1.79861,0.368262,0.138086,-0.10159,0.0428554,-0.108737,-10.6262,-0.502086,-0.271016,-0.0207768,0.148497,0.213379,-0.88283,0.117794,-0.0972784,-2.52306,0.605499,0.0884744,-0.0638244,0.317811,0.147864,-1.79861,-0.0258367,0.234822,-0.10159,-0.381828,-0.488156,-10.6262,-0.669164,-0.708805,-0.0207768,0.278237,0.0313348,-0.88283,0.0241939,-0.104266,-1.27714,0.653756,0.0987568
-1.73768,-0.00504496,-0.00254554,-0.0992347,0.00989911,0.0018712,-10.4118,0.0110722,0.00116561,-0.0203153,0.00504809,0.00399551,-0.863959,0.00688992,0.00131918,-1.24954,0.0102579,0.00399247,-2.46776,0.010359,0.00436717,-0.0626408,-0.507357,-0.350252,-0.0992347,0.818294,0.705605,-10.4118,0.245135,0.59215,-0.0203153,-0.432585,-0.415417,-0.863959,0.237013,0.351841,-1.24954,0.596363,0.610744,-2.46776,-0.505927,0.815927,-0.0626408,0.0138567,0.0035625,-1.73768,0.0158495,0.0114736,-10.4118,-0.0190539,5.81035e-05,-0.0203153,0.014421,-0.00549067,-0.863959,-0.00400836,-0.0014981,-1.24954,0.00645811,-0.00665211,-2.46776,0.00198015,-0.0228865,-0.0626408,0.107187,0.102942,-1.73768,1.14122,0.656919,-0.0992347,0.828201,-0.0376779,-0.0203153,-0.00327388,-0.772988,-0.863959,-1.13011,-0.666079,-1.24954,-1.45758,-1.33157,-2.46776,-0.87246,-2.53369,-0.0626408,0.00476848,0.00299033,-1.73768,-0.0018996,-0.00162295,-0.0992347,-0.00295028,-0.00105468,-10.4118,-0.00275659,-0.00237559,-0.863959,0.00214363,0.000631209,-1.24954,0.00602155,0.00497075,-2.46776,0.000595043,0.00150564,-0.0626408,0.139823,0.0342183,-1.73768,0.175357,0.0617133,-0.0992347,0.00910848,0.00117597,-10.4118,-0.0746913,-0.0596598,-0.0203153,0.0133543,0.0164195,-1.24954,0.0442754,-0.0367916,-2.46776,0.0134309,-0.0168325,-0.0626408,0.239323,0.110328,-1.73768,0.287689,0.132921,-0.0992347,-0.0162288,-0.106553,-10.4118,-0.519997,-0.265814,-0.0203153,0.103893,0.208419,-0.863959,0.138298,-0.0955393,-2.46776,0.574495,0.0861734,-0.0626408,0.295307,0.144394,-1.73768,0.286881,0.225553,-0.0992347,-0.303316,-0.477723,-10.4118,-0.638009,-0.695217,-0.0203153,0.187559,0.0297919,-0.863959,0.0291821,-0.102902,-1.24954,0.538471,0.0957299
-1.67674,-0.00578516,-0.00245184,-0.0968792,0.00828478,0.00182987,-10.1974,0.00958554,0.00114427,-0.0198539,0.00695874,0.00390977,-0.845088,0.00634,0.00129367,-1.22194,0.0079189,0.00390625,-2.41247,0.00966504,0.00427082,-0.0614571,-0.457912,-0.343536,-0.0968792,0.731175,0.688943,-10.1974,0.202376,0.58,-0.0198539,-0.374357,-0.406057,-0.845088,0.251772,0.344383,-1.22194,0.702741,0.597223,-2.41247,-0.439762,0.797482,-0.0614571,0.012429,0.0034892,-1.67674,0.0115471,0.0110613,-10.1974,-0.0169096,5.01552e-05,-0.0198539,0.0129144,-0.00537593,-0.845088,-0.00352946,-0.00147282,-1.22194,0.000321638,-0.00651067,-2.41247,3.55632e-05,-0.0223727,-0.0614571,-0.145848,0.0997618,-1.67674,0.961238,0.631665,-0.0968792,0.561782,-0.0383455,-0.0198539,-0.069975,-0.757277,-0.845088,-1.21653,-0.653135,-1.22194,-1.70899,-1.30327,-2.41247,-0.816355,-2.47749,-0.0614571,0.00526821,0.00294258,-1.67674,-0.00247105,-0.00155022,-0.0968792,-0.00252946,-0.00101865,-10.1974,-0.00160097,-0.00231686,-0.845088,0.00210713,0.000627475,-1.22194,0.00589649,0.00486986,-2.41247,0.000358911,0.00148179,-0.0614571,0.148392,0.0337863,-1.67674,0.132592,0.0599518,-0.0968792,-0.0285626,0.0014173,-10.1974,-0.114869,-0.0581889,-0.0198539,0.00972981,0.016306,-1.22194,0.0117746,-0.0357162,-2.41247,0.0194613,-0.0161916,-0.0614571,0.211791,0.107967,-1.67674,0.197498,0.127756,-0.0968792,-0.0560057,-0.10437,-10.1974,-0.537908,-0.260613,-0.0198539,0.0671275,0.203459,-0.845088,0.130895,-0.0938001,-2.41247,0.543491,0.0838723,-0.0614571,0.272803,0.140923,-1.67674,0.519924,0.216284,-0.0968792,-0.253171,-0.467291,-10.1974,-0.606853,-0.68163,-0.0198539,0.111968,0.0282491,-0.845088,0.0247316,-0.101539,-1.22194,0.423187,0.092703
-1.61581,-0.00446855,-0.00235814,-0.0945236,0.00698468,0.00178853,-9.98291,0.00809885,0.00112292,-0.0193924,0.00820084,0.00382404,-0.826217,0.00579009,0.00126815,-1.19434,0.00557992,0.00382003,-2.35718,0.0089711,0.00417446,-0.0602735,-0.408468,-0.33682,-0.0945236,0.656781,0.67228,-9.98291,0.159617,0.56785,-0.0193924,-0.341086,-0.396698,-0.826217,0.266531,0.336926,-1.19434,0.809118,0.583702,-2.35718,-0.373597,0.779037,-0.0602735,0.0110014,0.0034159,-1.61581,0.00717411,0.010649,-9.98291,-0.0147654,4.22068e-05,-0.0193924,0.0108183,-0.00526119,-0.826217,-0.00305056,-0.00144754,-1.19434,-0.00581483,-0.00636923,-2.35718,-0.00190903,-0.0218589,-0.0602735,-0.398882,0.096582,-1.61581,0.300961,0.606412,-0.0945236,0.349534,-0.0390132,-0.0193924,-0.157993,-0.741566,-0.826217,-1.30294,-0.640191,-1.19434,-1.9604,-1.27497,-2.35718,-0.76025,-2.42129,-0.0602735,0.00576793,0.00289483,-1.61581,-0.00248563,-0.0014775,-0.0945236,-0.00214444,-0.000982625,-9.98291,-0.000445354,-0.00225813,-0.826217,0.00207063,0.000623741,-1.19434,0.00577143,0.00476897,-2.35718,0.000122778,0.00145793,-0.0602735,0.156962,0.0333544,-1.61581,0.047544,0.0581903,-0.0945236,-0.0470022,0.00165863,-9.98291,-0.155047,-0.0567179,-0.0193924,0.0132048,0.0161925,-1.19434,-0.0207263,-0.0346409,-2.35718,0.0254917,-0.0155508,-0.0602735,0.18426,0.105606,-1.61581,0.144758,0.122591,-0.0945236,-0.0778765,-0.102186,-9.98291,-0.55582,-0.255412,-0.0193924,0.052773,0.198499,-0.826217,0.123491,-0.092061,-2.35718,0.512487,0.0815712,-0.0602735,0.250298,0.137453,-1.61581,0.556664,0.207016,-0.0945236,-0.228958,-0.456858,-9.98291,-0.575697,-0.668043,-0.0193924,0.0795095,0.0267062,-0.826217,0.0202811,-0.100175,-1.19434,0.307902,0.089676
-1.55487,-0.00299051,-0.00226443,-0.092168,0.00579902,0.0017472,-9.76848,0.00661215,0.00110158,-0.018931,0.00931285,0.0037383,-0.807346,0.00524017,0.00124264,-1.16673,0.00400589,0.00373381,-2.30188,0.00827716,0.0040781,-0.0590899,-0.359023,-0.330104,-0.092168,0.587243,0.655617,-9.76848,0.116857,0.5557,-0.018931,-0.312115,-0.387338,-0.807346,0.28129,0.329468,-1.16673,0.847806,0.570181,-2.30188,-0.307433,0.760592,-0.0590899,0.00957374,0.00334259,-1.55487,0.00735467,0.0102366,-9.76848,-0.0126212,3.42584e-05,-0.018931,0.00864105,-0.00514646,-0.807346,-0.00257166,-0.00142225,-1.16673,-0.00986566,-0.00622779,-2.30188,-0.00385362,-0.0213452,-0.0590899,-0.651917,0.0934021,-1.55487,0.0244787,0.581158,-0.092168,0.157154,-0.0396808,-0.018931,-0.248308,-0.725855,-0.807346,-1.38936,-0.627247,-1.16673,-2.08504,-1.24667,-2.30188,-0.704146,-2.36509,-0.0590899,0.00626765,0.00284709,-1.55487,-0.00193412,-0.00140478,-0.092168,-0.00177506,-0.0009466,-9.76848,0.000710266,-0.0021994,-0.807346,0.00203414,0.000620006,-1.16673,0.00555352,0.00466808,-2.30188,-0.000113354,0.00143407,-0.0590899,0.165531,0.0329225,-1.55487,0.0172689,0.0564289,-0.092168,-0.0587276,0.00189995,-9.76848,-0.195225,-0.055247,-0.018931,0.0176985,0.016079,-1.16673,-0.0394873,-0.0335655,-2.30188,0.0315221,-0.0149099,-0.0590899,0.156729,0.103246,-1.55487,0.157479,0.117426,-0.092168,-0.0934885,-0.100003,-9.76848,-0.573731,-0.250211,-0.018931,0.0421083,0.193539,-0.807346,0.116088,-0.0903218,-2.30188,0.481483,0.0792701,-0.0590899,0.227794,0.133983,-1.55487,0.428795,0.197747,-0.092168,-0.21374,-0.446426,-9.76848,-0.544542,-0.654456,-0.018931,0.0539492,0.0251633,-0.807346,0.0158306,-0.0988121,-1.16673,0.224732,0.0866491
-1.49394,-0.0024106,-0.00217073,-0.0898125,0.00488329,0.00170587,-9.55404,0.00512545,0.00108023,-0.0184696,0.00980039,0.00365256,-0.788476,0.00469026,0.00121712,-1.13913,0.00358255,0.00364759,-2.24659,0.00758322,0.00398174,-0.0579063,-0.331799,-0.323389,-0.0898125,0.530031,0.638954,-9.55404,0.0740976,0.54355,-0.0184696,-0.302919,-0.377978,-0.788476,0.296049,0.32201,-1.13913,0.784669,0.55666,-2.24659,-0.241268,0.742147,-0.0579063,0.00854242,0.00326929,-1.49394,0.0116126,0.00982428,-9.55404,-0.010477,2.63101e-05,-0.0184696,0.0061271,-0.00503172,-0.788476,-0.00209277,-0.00139697,-1.13913,-0.0107791,-0.00608635,-2.24659,-0.00579821,-0.0208314,-0.0579063,-0.728055,0.0902223,-1.49394,0.422407,0.555905,-0.0898125,0.0121982,-0.0403484,-0.0184696,-0.346741,-0.710145,-0.788476,-1.47577,-0.614303,-1.13913,-2.01898,-1.21837,-2.24659,-0.648041,-2.30889,-0.0579063,0.00633674,0.00279934,-1.49394,-0.00113896,-0.00133205,-0.0898125,-0.00145278,-0.000910575,-9.55404,0.00186589,-0.00214067,-0.788476,0.00199764,0.000616272,-1.13913,0.00519594,0.0045672,-2.24659,-0.000349486,0.00141021,-0.0579063,0.161166,0.0324905,-1.49394,0.0645,0.0546674,-0.0898125,-0.0557468,0.00214128,-9.55404,-0.235403,-0.0537761,-0.0184696,0.0265127,0.0159655,-1.13913,-0.0375796,-0.0324902,-2.24659,0.0375525,-0.0142691,-0.0579063,0.143105,0.100885,-1.49394,0.216671,0.112261,-0.0898125,-0.0953621,-0.0978197,-9.55404,-0.591642,-0.24501,-0.0184696,0.0481029,0.188579,-0.788476,0.108684,-0.0885827,-2.24659,0.450479,0.0769691,-0.0579063,0.20201,0.130512,-1.49394,0.219291,0.188479,-0.0898125,-0.21798,-0.435993,-9.55404,-0.513386,-0.640869,-0.0184696,0.0591575,0.0236204,-0.788476,0.0113802,-0.0974487,-1.13913,0.18987,0.0836222
-1.43301,-0.00248939,-0.00207703,-0.0874569,0.00415753,0.00166454,-9.33961,0.00479479,0.00105889,-0.0180081,0.009885,0.00356682,-0.769605,0.00414034,0.00119161,-1.11153,0.00337275,0.00356137,-2.1913,0.00688928,0.00388538,-0.0567227,-0.314188,-0.316673,-0.0874569,0.482228,0.622292,-9.33961,0.0891759,0.5314,-0.0180081,-0.303816,-0.368619,-0.769605,0.310808,0.314553,-1.11153,0.708493,0.543139,-2.1913,-0.175103,0.723701,-0.0567227,0.00768255,0.00319598,-1.43301,0.0125164,0.00941194,-9.33961,-0.00922613,1.83617e-05,-0.0180081,0.00355703,-0.00491698,-0.769605,-0.00161387,-0.00137168,-1.11153,-0.0111708,-0.00594491,-2.1913,-0.0077428,-0.0203176,-0.0567227,-0.727669,0.0870425,-1.43301,0.981813,0.530651,-0.0874569,-0.0989139,-0.041016,-0.0180081,-0.441527,-0.694434,-0.769605,-1.56218,-0.601359,-1.11153,-1.92148,-1.19007,-2.1913,-0.591936,-2.25269,-0.0567227,0.00621955,0.0027516,-1.43301,-0.000796876,-0.00125933,-0.0874569,-0.00117228,-0.00087455,-9.33961,0.00214228,-0.00208194,-0.769605,0.00196114,0.000612538,-1.11153,0.00481959,0.00446631,-2.1913,-0.000585619,0.00138636,-0.0567227,0.151205,0.0320586,-1.43301,0.106762,0.052906,-0.0874569,-0.0433737,0.00238261,-9.33961,-0.234295,-0.0523051,-0.0180081,0.0363732,0.015852,-1.11153,-0.0326754,-0.0314149,-2.1913,0.0435829,-0.0136282,-0.0567227,0.135498,0.0985246,-1.43301,0.243504,0.107096,-0.0874569,-0.0884341,-0.0956364,-9.33961,-0.566037,-0.239809,-0.0180081,0.0616262,0.183619,-0.769605,0.101281,-0.0868435,-2.1913,0.419475,0.074668,-0.0567227,0.174807,0.127042,-1.43301,0.0640816,0.17921,-0.0874569,-0.234426,-0.425561,-9.33961,-0.501487,-0.627282,-0.0180081,0.0770448,0.0220776,-0.769605,0.00692967,-0.0960853,-1.11153,0.163226,0.0805953
