initT_abscissa,initT_pdf,aS_abscissa,aS_pdf,dS_abscissa,dS_pdf,lBt0_abscissa,lBt0_pdf,lk_abscissa,lk_pdf,lae_abscissa,lae_pdf,lw_abscissa,lw_pdf,dE_abscissa,dE_pdf,split
-3.62819,0.0132067,-3.44037,0.00756751,-2.88455,0.0144934,-2.41821,0.027052,-2.69026,0.00832515,-3.06498,0.0295477,-3.23549,0.00682837,-1.57641,0.146498,All
-3.31834,0.0132067,-3.16999,0.00756751,-2.60221,0.0362335,-2.19131,0.0360693,-2.44449,0.0166503,-2.788,0,-2.93586,0,-1.35295,0.329622,All
-3.00849,0,-2.89962,0,-2.31987,0.0362335,-1.96441,0.027052,-2.19873,0.0582761,-2.51102,0.0295477,-2.63622,0,-1.12949,0.393715,All
-2.69864,0.0198101,-2.62925,0.0227025,-2.03753,0.0289868,-1.73751,0.108208,-1.95296,0.0832515,-2.23404,0.0369346,-2.33658,0.0341418,-0.906028,0.256372,All
-2.38879,0.0264134,-2.35888,0.015135,-1.75519,0.0942071,-1.51061,0.198381,-1.7072,0.0582761,-1.95706,0.0517084,-2.03694,0.0273135,-0.682568,0.320465,All
-2.07895,0.0660336,-2.08851,0.0378375,-1.47285,0.1087,-1.28371,0.189364,-1.46143,0.166503,-1.68007,0.118191,-1.73731,0.0887688,-0.459108,0.430339,All
-1.7691,0.0462235,-1.81814,0.12108,-1.19051,0.195661,-1.05681,0.243468,-1.21567,0.27473,-1.40309,0.184673,-1.43767,0.116082,-0.235648,0.302153,All
-1.45925,0.13867,-1.54777,0.0908101,-0.908171,0.289868,-0.829908,0.27052,-0.969901,0.233104,-1.12611,0.177286,-1.13803,0.25265,-0.0121875,0.485276,All
-1.1494,0.237721,-1.2774,0.136215,-0.625831,0.297115,-0.603008,0.27052,-0.724135,0.341331,-0.849132,0.228995,-0.838394,0.361904,0.211273,0.402871,All
-0.839555,0.264134,-1.00702,0.3027,-0.34349,0.434802,-0.376107,0.432832,-0.47837,0.366307,-0.572151,0.317638,-0.538757,0.437016,0.434733,0.329622,All
-0.529708,0.409408,-0.736653,0.348105,-0.0611499,0.391322,-0.149207,0.351676,-0.232604,0.366307,-0.29517,0.361959,-0.239119,0.457501,0.658193,0.201435,All
-0.21986,0.330168,-0.466282,0.3027,0.221191,0.427555,0.0776932,0.378728,0.0131617,0.357981,-0.0181894,0.435828,0.0605186,0.450672,0.881653,0.274685,All
0.0899881,0.442425,-0.19591,0.469185,0.503531,0.420308,0.304594,0.351676,0.258927,0.432908,0.258791,0.398894,0.360156,0.361904,1.10511,0.201435,All
0.399836,0.429218,0.0744608,0.36324,0.785872,0.297115,0.531494,0.342659,0.504693,0.399607,0.535772,0.376733,0.659794,0.245821,1.32857,0.173967,All
0.709684,0.369788,0.344832,0.348105,1.06821,0.253634,0.758394,0.351676,0.750459,0.29138,0.812753,0.265929,0.959431,0.25265,1.55203,0.137342,All
1.01953,0.198101,0.615203,0.370808,1.35055,0.188414,0.985295,0.297572,0.996224,0.27473,1.08973,0.295477,1.25907,0.129739,1.77549,0.11903,All
1.32938,0.132067,0.885575,0.295133,1.63289,0.0652203,1.21219,0.243468,1.24199,0.191478,1.36672,0.155125,1.55871,0.0819404,1.99895,0.0640931,All
1.63923,0.0726369,1.15595,0.21189,1.91523,0.0434802,1.4391,0.153295,1.48776,0.116552,1.6437,0.125578,1.85834,0.0546269,2.22241,0.0549369,All
1.94908,0.0462235,1.42632,0.196755,2.19757,0.0362335,1.666,0.144277,1.73352,0.0832515,1.92068,0.0590954,2.15798,0.0546269,2.44587,0.00915616,All
2.25892,0.0462235,1.69669,0.12108,2.47991,0.0144934,1.8929,0.0631213,1.97929,0.0499509,2.19766,0.0517084,2.45762,0.0409702,2.66933,0.0274685,All
2.56877,0.0528268,1.96706,0.0227025,2.76225,0.0072467,2.1198,0.0450867,2.22505,0.0333006,2.47464,0.0369346,2.75726,0.0136567,2.89279,0,All
2.87862,0,2.23743,0.0378375,3.0446,0.0072467,2.3467,0.027052,2.47082,0.0333006,2.75162,0.0221608,3.05689,0.00682837,3.11625,0,All
3.18847,0.0132067,2.5078,0.03027,3.32694,0.0072467,2.5736,0.0450867,2.71658,0.00832515,3.0286,0.00738692,3.35653,0.00682837,3.33971,0.00915616,All
