rep,id_var,standEta_initT_simulated,standEta_aS_simulated,standEta_dS_simulated,standEta_lBt0_simulated,standEta_lk_simulated,standEta_lae_simulated,standEta_lw_simulated,standEta_dE_simulated,filter
1,35,-1.81534,0.965048,-0.463847,0,-0.0393848,0,0,0.463212,0
2,35,-0.601886,0.790908,-0.510156,0,0.0241862,0,0,0.223236,0
3,35,-1.44451,-2.53646,-0.37759,0,0.00116234,0,0,-0.382735,0
4,35,-1.51061,0.0230653,0.742743,0,0.0163354,0,0,-0.0645435,0
5,35,-0.252165,0.188396,-1.69099,0,0.0110444,0,0,0.260994,0
6,35,-0.931354,1.78597,-1.24279,0,0.0038086,0,0,0.810631,0
7,35,-1.16442,-1.47629,-0.0736484,0,0.0216585,0,0,0.213253,0
8,35,-2.22624,-0.147198,1.14211,0,-0.0118054,0,0,0.398651,0
9,35,-1.40933,-0.597197,-0.57087,0,0.0109142,0,0,0.157959,0
10,35,-1.30746,0.942977,-0.1941,0,0.00042674,0,0,-0.759299,0
1,36,1.5272,0.491792,-0.293184,0,-0.00171364,0,0,0.489332,0
2,36,1.73883,0.0304757,0.162426,0,0.0200856,0,0,0.616447,0
3,36,1.45578,0.170674,-0.352291,0,-0.0193196,0,0,0.732646,0
4,36,1.72885,-0.149397,-0.124186,0,-0.0153977,0,0,1.05987,0
5,36,1.48612,-0.852802,0.979385,0,-0.00748877,0,0,0.315079,0
6,36,1.59784,0.772739,1.04047,0,-0.0187209,0,0,0.470207,0
7,36,2.00951,0.179306,0.0707686,0,0.0358097,0,0,-0.233278,0
8,36,0.6874,-3.57555,0.849249,0,0.00280647,0,0,0.386837,0
9,36,1.44384,0.0168867,0.641849,0,-0.0304911,0,0,0.744688,0
10,36,1.95356,1.34358,-0.904955,0,-0.0262953,0,0,-0.0113419,0
1,37,-0.727006,-0.93329,0.265787,0,0.00576349,0,0,-0.195046,0
2,37,-0.859859,0.0542719,0.361075,0,-0.0106653,0,0,0.0864093,0
3,37,-0.94447,-0.00812363,0.0755661,0,-0.0164278,0,0,0.38827,0
4,37,-1.0172,-0.721723,-0.283864,0,-0.0328411,0,0,0.152193,0
5,37,-1.00761,0.311577,0.417211,0,0.00129773,0,0,-0.293435,0
6,37,0.0122351,-0.0952902,-0.238017,0,0.00690946,0,0,-0.237794,0
7,37,-0.255177,0.831075,-1.49626,0,-0.00374762,0,0,-0.930804,0
8,37,-0.963519,-1.73671,0.332689,0,0.0180658,0,0,0.103261,0
9,37,-1.33043,-0.0751572,1.39463,0,0.0336372,0,0,0.6027,0
10,37,0.230922,-1.00823,-1.77114,0,0.0295015,0,0,-0.237924,0
1,38,-0.112057,0.0995143,-0.588098,0,0.0117605,0,0,-0.0785234,0
2,38,-0.794708,-0.597238,0.189937,0,0.00504185,0,0,0.598118,0
3,38,0.222806,-1.07992,-1.26119,0,0.0253908,0,0,-0.211928,0
4,38,-0.0341425,2.22635,1.10275,0,0.00191996,0,0,0.233829,0
5,38,0.327707,0.924982,-0.418525,0,-0.00407865,0,0,-0.806745,0
6,38,-0.156473,0.986828,-0.355136,0,-0.0123096,0,0,0.146484,0
7,38,-0.212542,-0.552952,0.305775,0,0.0220753,0,0,0.0252734,0
8,38,-1.58645,-0.933778,1.2767,0,-0.0278654,0,0,0.204689,0
9,38,-0.0150613,0.650414,-0.165767,0,0.00646072,0,0,0.226353,0
10,38,0.54354,1.27101,-0.579347,0,0.0138951,0,0,0.769995,0
1,39,1.30147,0.563862,0.0119696,0,-0.0125893,0,0,-0.244454,0
2,39,0.639884,1.80938,1.70276,0,-0.0413164,0,0,-0.101175,0
3,39,0.663759,-1.0022,0.450779,0,-0.006532,0,0,-0.0939439,0
4,39,0.456601,-0.945978,3.46811,0,0.00309915,0,0,-0.336403,0
5,39,1.20674,0.532922,1.07167,0,-0.00180505,0,0,0.216973,0
6,39,0.711028,0.664192,0.808803,0,-0.0161149,0,0,0.672648,0
7,39,0.389588,-1.44267,0.0331708,0,-0.0146097,0,0,0.186834,0
8,39,1.29634,-0.640425,0.504165,0,0.0121093,0,0,-0.0137465,0
9,39,-0.690251,-2.05126,2.18072,0,-0.0183602,0,0,0.256324,0
10,39,1.0552,-0.000839572,-0.657861,0,-0.0354874,0,0,0.133527,0
1,40,-1.55358,0.511148,0.6272,0,-0.00797079,0,0,0.0014611,0
2,40,-0.925592,1.07114,0.752539,0,-0.0133204,0,0,0.230526,0
3,40,0.37592,0.246187,-0.7368,0,0.0465895,0,0,0.392682,0
4,40,-0.310368,-0.144849,-1.25179,0,0.0235148,0,0,-0.561885,0
5,40,-0.719672,-0.722407,-1.18085,0,-0.000688234,0,0,-0.306691,0
6,40,-1.56418,-1.71025,0.0837717,0,-0.0104579,0,0,-0.539661,0
7,40,-1.1347,-0.51236,-1.32329,0,0.00182051,0,0,-0.645421,0
