id,initT_SAEM,aS_SAEM,dS_SAEM,tau_SAEM,lBt0_SAEM,lp_SAEM,dI_SAEM,lk_SAEM,lae_SAEM,f_SAEM,dp_SAEM,lw_SAEM,dE_SAEM,lI50_SAEM,initT_mean,aS_mean,dS_mean,tau_mean,lBt0_mean,lp_mean,dI_mean,lk_mean,lae_mean,f_mean,dp_mean,lw_mean,dE_mean,lI50_mean,initT_mode,aS_mode,dS_mode,tau_mode,lBt0_mode,lp_mode,dI_mode,lk_mode,lae_mode,f_mode,dp_mode,lw_mode,dE_mode,lI50_mode,initT_sd,aS_sd,dS_sd,tau_sd,lBt0_sd,lp_sd,dI_sd,lk_sd,lae_sd,f_sd,dp_sd,lw_sd,dE_sd,lI50_sd,data
35,-10.797,16.239,0.00904139,0.05,-4.9074,4.6,0.9,-3.9578,0.147556,0.9,0.001,-1.62867,0.999983,1.50502e+49,-10.9411,16.1869,0.0090302,0.05,-4.90744,4.6,0.9,-3.97372,0.169347,0.9,0.001,-1.6663,0.999792,2.20437e+47,-10.5632,16.2295,0.00902358,0.05,-4.90545,4.6,0.9,-3.95837,0.346392,0.9,0.001,-1.35591,1,1.77015,1.64108,0.68357,0.000408485,0,0.011842,0,0,0.464744,0.509284,0,0,0.336941,0.00590855,9.87754e+48,thai
36,-2.87548,16.2094,0.00910744,0.05,-4.90509,4.6,0.9,-3.98198,0.270296,0.9,0.001,0.33022,1,8.48748e+32,-2.78999,16.2175,0.00905782,0.05,-4.90713,4.6,0.9,-3.96139,0.187927,0.9,0.001,0.356304,0.999972,5.36513e+41,-2.72143,16.1264,0.00907385,0.05,-4.90711,4.6,0.9,-3.97449,0.18629,0.9,0.001,0.433188,1,1.35729e-06,0.995684,0.73016,0.000438076,0,0.0116588,0,0,0.461444,0.560343,0,0,0.177656,0.000966104,2.40414e+43,thai
37,-7.90516,16.2147,0.00904744,0.05,-4.90682,4.6,0.9,-3.95663,0.204413,0.9,0.001,-1.75052,0.999994,1.08628e+45,-8.06572,16.2049,0.00907372,0.05,-4.90677,4.6,0.9,-4.00412,0.22297,0.9,0.001,-1.72589,0.999816,1.22385e+47,-8.293,16.1065,0.00910152,0.05,-4.90785,4.6,0.9,-4.05406,0.314306,0.9,0.001,-1.6604,1,2.32384,1.5831,0.714112,0.000420707,0,0.0123723,0,0,0.465299,0.540955,0,0,0.318172,0.00818875,5.48326e+48,thai
38,-8.68989,16.1711,0.00905258,0.05,-4.90564,4.6,0.9,-3.83973,0.343178,0.9,0.001,-0.324256,0.99855,1.2677e+22,-8.61989,16.1721,0.0090486,0.05,-4.90599,4.6,0.9,-3.90095,0.31235,0.9,0.001,-0.419657,0.996872,8.01056e+38,-8.68951,16.0856,0.00909817,0.05,-4.90743,4.6,0.9,-3.82656,0.431211,0.9,0.001,-0.00744665,1,1.435e-06,1.36903,0.714678,0.00040406,0,0.0120467,0,0,0.482124,0.575298,0,0,0.572139,0.0520681,3.41574e+40,thai
39,-7.2989,15.4099,0.00957032,0.05,-4.91258,4.6,0.9,-3.67048,0.86977,0.9,0.001,-0.42884,1,8.41905e+26,-7.23157,15.4819,0.00955457,0.05,-4.91415,4.6,0.9,-3.58997,0.653418,0.9,0.001,-0.497022,0.999788,1.89117e+38,-6.91535,15.4645,0.00951717,0.05,-4.91337,4.6,0.9,-3.61969,0.785522,0.9,0.001,-0.342769,1,1.10712e-07,1.46347,0.675098,0.000458479,0,0.0122359,0,0,0.476068,0.523905,0,0,0.284101,0.00894084,8.43832e+39,thai
40,-10.2779,16.0662,0.00913228,0.05,-4.90954,4.6,0.9,-3.87451,0.471311,0.9,0.001,-1.99487,1,5.09723e+37,-10.0327,16.1296,0.00908716,0.05,-4.90978,4.6,0.9,-3.81755,0.471094,0.9,0.001,-2.04778,0.999901,5.62875e+47,-9.87055,16.0662,0.0090858,0.05,-4.90929,4.6,0.9,-3.86802,0.390499,0.9,0.001,-2.01533,1,4.5021,1.36312,0.651757,0.000401435,0,0.0118234,0,0,0.431269,0.475871,0,0,0.328849,0.00422262,2.52167e+49,thai
41,-5.01447,16.6705,0.00885902,0.05,-4.90244,4.6,0.9,-3.78303,0.176026,0.9,0.001,-0.272435,1,5.701e+26,-5.40908,16.4641,0.00885932,0.05,-4.90374,4.6,0.9,-3.82813,0.384924,0.9,0.001,-0.184179,0.999774,1.51262e+50,-4.99618,16.5951,0.00878666,0.05,-4.90276,4.6,0.9,-3.80465,0.468022,0.9,0.001,0.0226344,1,1.49353e-06,1.15738,0.785671,0.000430019,0,0.0117892,0,0,0.430927,0.499611,0,0,0.395397,0.0093205,6.74831e+51,thai
42,-6.47794,16.265,0.00904052,0.05,-4.90554,4.6,0.9,-3.98938,0.255141,0.9,0.001,-0.968584,0.99725,3.14254e+46,-6.58714,16.2217,0.00902905,0.05,-4.90587,4.6,0.9,-3.72771,0.414315,0.9,0.001,-0.729753,0.999442,1.74516e+40,-6.21493,16.3176,0.00896189,0.05,-4.90528,4.6,0.9,-3.57278,0.584958,0.9,0.001,-0.27591,1,5.6487e-05,1.26424,0.723298,0.000436345,0,0.0120504,0,0,0.525908,0.636001,0,0,0.497734,0.0117465,7.79446e+41,thai
43,-6.05344,16.1491,0.00908203,0.05,-4.90733,4.6,0.9,-3.79281,0.434577,0.9,0.001,-1.94759,1,1.63572e+35,-5.94286,16.1992,0.00905947,0.05,-4.9079,4.6,0.9,-3.78659,0.375198,0.9,0.001,-1.89465,0.999825,3.75394e+42,-5.78294,16.0041,0.00897415,0.05,-4.90683,4.6,0.9,-3.99104,0.490839,0.9,0.001,-1.91947,1,5.12135,1.38649,0.728612,0.000428436,0,0.0118576,0,0,0.464359,0.503805,0,0,0.341276,0.00783115,1.66216e+44,thai
44,-11.1111,16.3742,0.00893677,0.05,-4.90501,4.6,0.9,-3.80066,0.468679,0.9,0.001,-0.199975,1,5.46437e+24,-10.9984,16.4738,0.00890584,0.05,-4.90448,4.6,0.9,-3.78125,0.486561,0.9,0.001,-0.253442,0.996515,7.26196e+39,-10.9187,16.444,0.00887965,0.05,-4.90409,4.6,0.9,-3.74555,0.630981,0.9,0.001,-0.102926,1,4.34953e-06,2.01568,0.738524,0.000405791,0,0.0120203,0,0,0.459386,0.523629,0,0,0.229198,0.0460205,3.25397e+41,thai
