parameter,value,se_lin,rse_lin
initT_pop,-3.83188123912519,0.312795406354658,8.1629723583518
aS_pop,70,,
dS_pop,0.0415796523579071,0.00279147472664043,6.71355956180712
tau_pop,0.05,,
lBt0_pop,-4.85175552660723,0.0336515867601543,0.693596092705158
lp_pop,4.6,,
dI_pop,0.9,,
lk_pop,-1.82463117118557,0.0649799917517559,3.56126721815974
f_pop,0.9,,
dp_pop,0.001,,
lw_pop,0.362145929437736,0.0892168999346894,24.635621356619
dE_pop,1,,
lI50_pop,-0.339900546723961,0.11761139293594,34.6017074904719
lod_pop,15,,
omega_initT,0.1,,
omega_dS,0.103553558799756,0.111947254476855,108.105656410448
omega_lBt0,0.111758096254878,0.0321830946848862,28.797103532874
omega_lw,0.524120021657361,0.0658865647064601,12.5708925406274
omega_lI50,0.528069348505505,0.0742785780047818,14.0660650376695
corr_lBt0_dS,0.998909501553353,0.356260301912263,35.6649227340676
a,0.466960573771632,0.0169890185773379,3.63821263112598
