parameter,value,se_lin,rse_lin
initT_pop,-11.1755316222668,1.25489509688489,11.228952136689
aS_pop,70,,
dS_pop,0.0431530971314047,0.00268369976047077,6.21902004460695
tau_pop,0.05,,
lBt0_pop,-4.85521673974852,0.0271555870347017,0.559307410777058
lp_pop,4.6,,
dI_pop,0.9,,
lk_pop,-1.75681960355394,0.0611142432706041,3.47868632311329
f_pop,0.9,,
dp_pop,0.001,,
lw_pop,0.0894849045141184,0.100446235112104,112.249362791973
dE_pop,1,,
lI50_pop,0.00226169000153882,0.136375774420437,6029.81727503101
omega_initT,7.21077762254195,0.923103687247779,12.8017217499819
omega_aS,0.122638962508402,0.0994484521244973,81.0904219103157
omega_dS,0.173057134212915,0.0468888094643958,27.0944099921981
omega_lBt0,0.024547608972395,0.0828561857741683,337.532612106312
omega_lw,0.656775170010581,0.0736464071373121,11.213336085182
omega_lI50,0.693389677835636,0.089767659560948,12.9462065026914
a,0.310968233294401,0.0118290447309381,3.80393990910939
