,A11200,A11201,A11213,A11214,A11219,A11221,R10155,R10159,T10173,T10187,Z08214,Z09087,Z09106,Z09125,Z09144,Z09192,Z09196,Z09204,Z11151,Z12037,Z12216,Z12351,Z12370,Z12417,Z12420,Z13133,weeks
0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,-2.0
1,30.0,30.0,,,,,,,,,,,,,,,30.0,30.0,,,,,,,,,-1.0
2,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0
3,7442.0,1409.0,,,,,,,,,,,,,,,19424.0,29449.0,,,,,,114549.0,161889.0,,0.4
4,,,2417.0,2733.0,20291.0,12765.0,24644.0,36062.0,938868.0,64442.0,52246.0,69956.0,158779.0,177698.0,420969.0,161066.0,,,,,,,,,,,0.6
5,222914.0,417691.0,109975.0,67704.0,2325046.0,280967.0,2712122.0,3678155.0,2822635.0,1203718.0,1915324.0,1132222.0,7621594.0,9849907.0,6026033.0,10998928.0,515191.0,546250.0,12401403.0,27811295.0,10661493.0,8968500.0,7509316.0,1131130.0,1265743.0,55360978.0,1.0
6,2801779.0,1018638.0,2298888.0,86269.0,252186.0,1220085.0,6860076.0,4318015.0,461798.0,2006024.0,11473731.0,9928549.0,3394484.0,8446774.0,20387157.0,321130.0,373680.0,637724.0,73213740.0,32260599.0,50396078.0,34634216.0,,,,,2.0
7,21863.0,11705.0,23134.0,3520.0,520003.0,63288.0,521081.0,118854.0,55551.0,836232.0,2350574.0,676436.0,3179064.0,1103801.0,3309479.0,3476654.0,394746.0,69021.0,304475.0,500109.0,4655726.0,362021.0,2764697.0,16876.0,26337.0,5966.0,3.0
8,4211.0,2993.0,2792.0,517.0,140054.0,8359.0,1178954.0,54618.0,2435.0,131037.0,1098525.0,1051335.0,315320.0,96271.0,274226.0,80942.0,160557.0,14783.0,271981.0,368510.0,663376.0,43994.0,473792.0,17625.0,29889.0,24539.0,4.0
9,6365.0,5512.0,607.0,1429.0,44172.0,5657.0,228267.0,40365.0,1189.0,249700.0,110456.0,764386.0,545291.0,25673.0,214392.0,33639.0,49104.0,33292.0,164773.0,464105.0,253028.0,6984.0,108843.0,149525.0,2548.0,13043.0,5.0
